"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_nombre","nodo2_nombre","nodo1_region","nodo2_region"
53,60,0.527027027027027,1992,1303.5,"SAN BARTOLO TUTOTEPEC","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
54,65,0.463917525773196,2217,1835.5,"SAN SALVADOR","TETEPANGO","Región Actopan","Región Tula"
56,70,0.45,4934.5,4377,"SANTIAGO TULANTEPEC DE LUGO GUERRERO","TLAHUELILPAN","Región Tulancingo","Región Tula"
58,59,0.458715596330275,2576.5,2341,"TASQUILLO","TECOZAUTLA","Región Ixmiquilpan","Región Huichapan"
58,65,0.5,2576.5,1835.5,"TASQUILLO","TETEPANGO","Región Ixmiquilpan","Región Tula"
59,66,0.458715596330275,2341,2479,"TECOZAUTLA","VILLA DE TEZONTEPEC","Región Huichapan","Región Tizayuca"
61,74,0.325153374233129,16106,6927,"TEPEAPULCO","TLAXCOAPAN","Región Apan","Región Tula"
62,78,0.418604651162791,547,899,"TEPEHUACÁN DE GUERRERO","XOCHIATIPAN","Región Zacualtipán","Región Huejutla"
62,79,0.472222222222222,547,564.5,"TEPEHUACÁN DE GUERRERO","XOCHICOATLÁN","Región Zacualtipán","Región Zacualtipán"
63,74,0.279411764705882,17709,6927,"TEPEJI DEL RÍO DE OCAMPO","TLAXCOAPAN","Región Tula","Región Tula"
65,66,0.495238095238095,1835.5,2479,"TETEPANGO","VILLA DE TEZONTEPEC","Región Tula","Región Tizayuca"
66,70,0.45,2479,4377,"VILLA DE TEZONTEPEC","TLAHUELILPAN","Región Tizayuca","Región Tula"
66,83,0.445454545454545,2479,3791,"VILLA DE TEZONTEPEC","ZEMPOALA","Región Tizayuca","Región Tizayuca"
67,70,0.488888888888889,7712,4377,"TEZONTEPEC DE ALDAMA","TLAHUELILPAN","Región Tula","Región Tula"
67,74,0.529411764705882,7712,6927,"TEZONTEPEC DE ALDAMA","TLAXCOAPAN","Región Tula","Región Tula"
69,76,0.287179487179487,30511,32403,"TIZAYUCA","TULA DE ALLENDE","Región Tizayuca","Región Tula"
70,74,0.492647058823529,4377,6927,"TLAHUELILPAN","TLAXCOAPAN","Región Tula","Región Tula"
75,82,0.458333333333333,2899.5,4332,"TOLCAYUCA","ZAPOTLÁN DE JUÁREZ","Región Tizayuca","Región Pachuca"
76,77,0.318021201413428,32403,44163.5,"TULA DE ALLENDE","TULANCINGO DE BRAVO","Región Tula","Región Tulancingo"
