"CVEGEO","ICE_Personal_2015.","ICE_Personal_2016A","ICE_Personal_2016B","ICE_Personal_2017A","ICE_Personal_2017B","ICE_Personal_2018A","ICE_Personal_2018B","ICE_Personal_2019A","ICE_Personal_2019B","ICE_Personal_2020A","ICE_Personal_2020B","ICE_Personal_2021A","ICE_Personal_2021B","ICE_Personal_2022A","ICE_Personal_2022B","ICE_Personal_2023B","ICE_Personal_2024A","ICE_Personal_2024B","ICE_Unidades_2015.","ICE_Unidades_2016A","ICE_Unidades_2016B","ICE_Unidades_2017A","ICE_Unidades_2017B","ICE_Unidades_2018A","ICE_Unidades_2018B","ICE_Unidades_2019A","ICE_Unidades_2019B","ICE_Unidades_2020A","ICE_Unidades_2020B","ICE_Unidades_2021A","ICE_Unidades_2021B","ICE_Unidades_2022A","ICE_Unidades_2022B","ICE_Unidades_2023B","ICE_Unidades_2024A","ICE_Unidades_2024B"
"13017",-0.500126274583133,-0.559961155324571,-0.559077728130611,-0.55649696806874,-0.558454377857821,-0.524909779082332,-0.548987199708817,-0.562343580252251,-0.475767480519054,-0.500627987060312,-0.460457328186061,-0.472030531802494,-0.443872818195177,-0.443912120682107,-0.455566142635947,-0.495926165512916,-0.507521857393408,-0.369224427115179,-0.569652156374126,-0.642099116231468,-0.617090206908065,-0.590304393964912,-0.59214518219977,-0.557278636433733,-0.580608824588364,-0.581188835368411,-0.536761843370071,-0.531419003666537,-0.530831828846589,-0.52123867742013,-0.49844127911305,-0.498756372863823,-0.500785270614177,-0.522347365882063,-0.524389938569949,-0.429715294928582
"13018",-0.427606096329028,-0.487384201105433,-0.499968454911161,-0.519997336414625,-0.526756255594466,-0.524648536802585,-0.509283056944845,-0.505095171920072,-0.509378514584161,-0.405164801433177,-0.448859237098845,-0.429290915707174,-0.415207585205256,-0.417895967334461,-0.413128298412636,-0.396752866184368,-0.41904850975979,-0.445752729688392,-0.394842462571259,-0.488533987617519,-0.495988065194108,-0.499860666215512,-0.533598627610386,-0.510357807256223,-0.538227622586562,-0.518976905790477,-0.497626261028248,-0.530893196428916,-0.508705592611615,-0.484773735387039,-0.48019753040443,-0.479005600434665,-0.483847078027899,-0.475173322119226,-0.48348056701148,-0.382646689429061
"13019",-0.829543922860021,-0.788945785901468,-0.755053444206587,-0.764938681479868,-0.787241548764899,-0.780706253261901,-0.775857536641371,-0.775413245586256,-0.778426780674932,-0.616351737409553,-0.71406914151675,-0.660700371119808,-0.655481387120134,-0.650715825423134,-0.66965702593187,-0.686485500053176,-0.671797323554441,-0.749464038413482,-0.912304628306595,-0.858667122669558,-0.872586643069182,-0.873404001080968,-0.872715933402691,-0.857896393937546,-0.867044551334941,-0.88071639552197,-0.764636798842801,-0.654947192166615,-0.704455428192083,-0.701590540296875,-0.701060932298519,-0.702537417269264,-0.705595840088238,-0.717563042967597,-0.71069681485741,-0.79730612781257
"13020",-1.13546524225281,-1.04684078224501,-1.07638764156584,-1.06183090986577,-1.04801920724851,-1.04051673000341,-1.05881315507235,-1.07347449445715,-1.36775530797822,-1.42869596700052,-1.46859986443747,-1.45059527917477,-1.44822406301848,-1.45456073970881,-1.42620200599832,-1.40099010213526,-1.3515797668732,-1.13136243846746,-1.36203750848907,-1.27617433915292,-1.2779858393422,-1.27404321997338,-1.26583038832004,-1.32243952244669,-1.26558135315032,-1.30571504280447,-1.34544697562881,-1.45376862277552,-1.48039530157152,-1.48171146177697,-1.49179485540949,-1.49132371867513,-1.50184031841443,-1.48750567952681,-1.47630013602702,-1.26229380079098
"13021",0.134664089931156,0.0939522012785511,0.0843907840561235,0.0490251451161849,0.0686626752344033,-0.0129477154550046,0.0589086584910773,0.071077177940945,0.0320221952113852,-0.00154469332301902,0.0510660214068061,0.0402149831671889,0.0789045548343443,0.103679390440548,0.0681206762288459,0.070942905371887,0.0750156080361207,0.180019300884555,0.244076811710026,0.215907007894739,0.202591779514052,0.201366375379726,0.19605361342384,0.128286543730109,0.194597314047954,0.217082143684759,0.20194783830233,0.216807673396695,0.196672846700466,0.197212187592951,0.2177427175559,0.226690098325692,0.219755344046564,0.270154592367077,0.267053429574004,0.22716493432098
"13022",-0.466595408592671,-0.491199349946957,-0.404549562266186,-0.421592729847615,-0.424265158269703,-0.418461524441525,-0.447545429449562,-0.438739476574434,-0.43186931958547,-0.443279692995279,-0.387908701008952,-0.385525011407819,-0.386475600185967,-0.391035574898684,-0.350327261770693,-0.370673743190087,-0.388741963009757,-0.346665258596321,-0.495578914214242,-0.499177289417552,-0.463457322655728,-0.455765669872014,-0.456853827379389,-0.450573539633669,-0.455355389645623,-0.43935638221421,-0.469195950102273,-0.410766427556496,-0.345173843866759,-0.35201028199449,-0.342582655869304,-0.344950287493158,-0.308057421288331,-0.364562786672051,-0.391210542778336,-0.366218939797879
"13023",0.133296662904762,0.0551853005559339,0.0291898166556704,0.0134068345555641,0.00894032464619746,0.0712767684686245,0.0744643451786891,0.0541983407757445,0.12446122148238,0.0123629646807913,0.00641233101926697,-0.0511904886022328,-0.0587773992206811,-0.051555716935471,-0.106058716890592,-0.101116039513869,-0.124629028618387,-0.121839496844,0.429590233681837,0.377502064582102,0.346880525995433,0.353303175734189,0.359406554066143,0.453024177426264,0.365747227213724,0.375696481944233,0.419090655119821,0.297368686709867,0.334294766147643,0.298695005009569,0.269743339226248,0.276498533412399,0.275168190588617,0.269618872342875,0.279682007460414,0.0868437061481594
"13024",-0.692631038871992,-0.652590277828284,-0.699193920053626,-0.645288789043989,-0.685752017677908,-0.698241770262375,-0.686215018285639,-0.682618486039104,-0.784315931569953,-0.703127050671285,-0.724701593358662,-0.718199053985747,-0.728048022380369,-0.729918980382602,-0.729686720111739,-0.757024744144938,-0.741484818433993,-0.447776312526734,-0.720297042800619,-0.724222730941852,-0.722093442942643,-0.702844008369223,-0.698065757958077,-0.705595939342676,-0.690180006710318,-0.690070535958516,-0.884576057591669,-0.811260344360615,-0.833360701472021,-0.840867869387995,-0.83182757420615,-0.831566056763139,-0.846563139669867,-0.860506452825637,-0.863646464978987,-0.710610833901776
"13025",-0.516941386560877,-0.562006131987727,-0.512200628552648,-0.523586073735265,-0.51869666442608,-0.49799964532962,-0.517791217796326,-0.601507465096982,-0.726426020591484,-0.619238220645655,-0.607317457766348,-0.605301814341101,-0.628510957610794,-0.630786032244974,-0.652091152323613,-0.615000855362244,-0.601332718438835,-0.526849132481659,-0.548219968935153,-0.612649285347129,-0.573433887937915,-0.582709012592365,-0.589612605838233,-0.521319400846252,-0.584062755902036,-0.587857690064593,-0.736010276278044,-0.659721605375155,-0.601689089700701,-0.62693730641733,-0.624371716878809,-0.626671682092025,-0.629662783311566,-0.613881651199817,-0.625489806693531,-0.582748651595889
"13026",-1.05043598757154,-1.05042304499991,-1.08539306547992,-1.07561229401131,-1.08229701243541,-1.0363740034809,-1.06817960325353,-1.05982122649594,-1.12087051195192,-1.04087766524728,-1.09200329714521,-1.07751920183225,-1.06947812848968,-1.07108978654541,-1.07032388196144,-1.07982864007157,-1.03646692959333,-1.07839740702362,-1.18231318079303,-1.252402111804,-1.27327453406318,-1.27020718039958,-1.26182065292208,-1.33372269260266,-1.25368896753344,-1.24654935043827,-1.32009571382949,-1.32725476424422,-1.32503418619162,-1.33630521032895,-1.32560559535243,-1.31955935580161,-1.31953800916463,-1.32970503317598,-1.31796985977475,-1.2671326989956
"13027",-0.564686649403783,-0.599061996747811,-0.577605151398453,-0.589309424564503,-0.604376992532935,-0.617069644599267,-0.604846363393257,-0.661072467058947,-0.923139989922568,-0.939583295196247,-0.926316248642422,-0.923010164550235,-0.923718992593376,-0.928451920589939,-0.933243057353736,-0.947472161686496,-0.896622916428862,-1.01209633487662,-0.655682123945757,-0.740194121355768,-0.718143153864234,-0.725107269549211,-0.717918656083867,-0.707645591287848,-0.731640213584584,-0.751517298340688,-0.990452217044,-1.00293089196246,-1.05107889282764,-1.05870016921513,-1.05848775937492,-1.05958075562762,-1.06102030760198,-1.06360467772927,-1.06260415952566,-1.00378583492655
"13028",1.0353349448673,0.913504812925497,0.935344387266717,0.882144359138404,0.823658447812429,0.825572541405499,0.796416962297443,0.799058438041511,0.85426491906372,0.988362319154769,0.942926937484065,0.916887277520193,0.89340646101005,0.889661011304176,0.921037800265879,0.926853312973443,0.821744631930751,0.680258013955763,1.33276348219036,1.17440417994195,1.2023533270192,1.19004328627739,1.23191208390038,1.26225195761767,1.18845932629925,1.18260530371975,1.40957176525049,1.42352731382686,1.36484866152952,1.37202635377093,1.32488190531448,1.31804864346003,1.31259855882369,1.26436698692332,1.27197994366503,0.878873739367717
