"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Fabricación de material de construcción","Industria alimentaria y de bebidas","Industria del papel","Manufactura metal y herreria","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Comunicaciones y transportes paqueteria","Construccion","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de muebles","Fabricas diversas","Maquiladoras y textileras","Fabricación de equipo electrónico y eléctrico","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Minería Metálicos"
"020","ELOXOCHITLÁN",0.567160289135679,11.9849528968438,NA,0.751148286326735,NA,0.120712762058889,NA,0.0947462456642826,1.80080909399127,NA,0.767307988275603,1547.58429140536,NA,NA,NA,0.451752502386681,NA,10.1272724208117,1.8588851306718,0.856516840363162,NA,NA,NA,6.01285455565404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"021","EMILIANO ZAPATA",3.71354195242297,3.79808091234052,0.132198119608174,2.50407237450999,13.0439727625563,3.94223766097539,0.59087405205639,8.80154486003516,20.9617563051652,0.482301173108288,7.9814264047311,NA,7.29457062401751,1.59818991726853,1.47550621224966,1.66381721322271,11.0593962622465,0.460481852880664,1.4909777466624,12.7119447642384,5.85430574829609,0.0248906867815326,NA,0.273401394950092,37.2863812768107,5.07032179070728,NA,NA,NA,5.09081499716819,NA,NA,NA,NA
"022","EPAZOYUCAN",5.27379812942515,10.6330679953061,NA,2.37671416923819,3.94603421607107,4.29250876454402,3.81898123454757,3.88524388928706,0.465139113681602,1.21767379182966,9.32760993126575,NA,0.318849095469417,0.25218604125541,NA,2.9171298510308,77.2238174774817,0.255451067407215,NA,4.15427543203641,8.31401047840654,NA,NA,NA,72.0740592969498,0.0347252759827922,NA,NA,NA,NA,NA,NA,NA,NA
"023","FRANCISCO I. MADERO",11.8184221534787,2.18772731617036,0.165636500581592,2.1015582088794,3.73453368711021,6.96531573968863,0.0115676652773559,5.65323361769592,29.999270358826,0.236052781213531,8.93172246950942,NA,0.988970494764534,2.59096750276305,0.259976651990482,2.08466551281102,37.5761083132953,18.1034630771537,3.90837218666293,13.0842646422521,4.54890947141394,0.0701697883639862,NA,8.1410558650564,0.017821369839241,0.255437875410269,NA,NA,NA,0.108518784589827,NA,NA,NA,NA
"024","HUASCA DE OCAMPO",0.181484030176825,1.55993929158851,0.232582941591618,3.15845215396169,0.0692818839103591,0.0721457896113141,1586.5735640876,0.713145402816939,NA,0.377127655596154,0.97490676566719,238.62972829103,NA,NA,0.648983465496496,0.144555016185182,NA,6.6963909224702,2.62315372710447,0.274074421430871,NA,NA,NA,NA,0.177950970129252,0.0107548195659546,NA,NA,NA,NA,NA,NA,NA,NA
"025","HUAUTLA",21.560845199099,8.58145869987694,9.72993548025931,7.27675202186393,0.0993949387295323,4.03522532022384,0.165710326177344,10.4496702948232,5.58845235550544,11.9516723615294,3.96003267827597,NA,0.141673033700245,13.5583992726655,NA,2.54046863380903,2.96821555751,1.16227710451377,22.1957634281129,29.0810437873974,14.7765335191858,NA,NA,11.0412405511223,1.02118619036069,0.0617174113330023,NA,NA,NA,NA,NA,NA,NA,NA
"026","HUAZALINGO",5.50044610082607,84.6380893368154,NA,3.13730261673836,2.09980607021632,10.0732153874386,NA,8.26983067685486,NA,NA,3.25888488397711,8.84202989373587,NA,2.3672164234158,NA,1.0952989559962,NA,24.5541327408288,4.50696992752664,2.07667250560114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"027","HUEHUETLA",26.780293695358,13.8505220351091,2.44057548210376,1.30295189251519,18.9092553152913,9.40358288417992,0.303011690318863,6.80506799553641,1.51166190503536,0.247333409205733,7.82412138736306,12.2452274653274,NA,0.819582830887089,NA,2.37010495254936,NA,2.12529634200783,1.56041295396016,24.4656347430953,NA,NA,NA,5.04739963976692,NA,0.253921825594219,NA,NA,NA,NA,NA,NA,NA,NA
"028","HUEJUTLA DE REYES",5.56384085610745,1.45427664823665,0.757446493148967,8.60061010574726,0.797350889789293,5.37336081622442,3.74636586251702,7.4949799646595,2.19362006113961,13.949407315286,5.48291415325615,0.0609332514594906,0.723601119759899,3.80342325106036,0.847179663819322,1.1866524826473,NA,2.37952081984931,20.6248094099683,2.40902999205519,0.974583951381331,10.7896549290647,NA,6.55400960410889,184.12710129691,0.275615273536619,0.088338254145391,NA,24.6802059551321,NA,NA,1.23943334794527,0.0414364070841911,NA
"029","HUICHAPAN",2.95788434477785,2.24497654490414,9.52198440124848,9.89160800917841,1.21600707588947,2.02621543030557,5.48899940029494,2.1188231150274,2.81181863804604,5.41583701445717,2.90370357624245,NA,161.860241561212,4.66876039336613,1.15318972506567,2.13898115092303,33.9328826475926,10.8161559036533,0.776530835514579,1.26910175565531,0.373507247624374,5.98683453482754,NA,0.7369721436081,1.09058147551235,10.2101286682973,NA,NA,8.0035592223136,NA,NA,5.81887521072169,NA,NA
