"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de muebles","Fabricas diversas","Fertilizantes y agricultura","Industria del papel","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de material de construcción","Industria Química","Petroquimica","Turismo","Fabricación de equipo electrónico y eléctrico","Fabricación de maquinaria","Generación, transmision, distribucion energía eléctrica","Minería Metálicos"
"019","CHILCUAUTLA",1.23767543253897,9.05785909082899,87.1962159246991,5.24037231712238,6.42201314975526,6.84812699304692,3.5044750505861,1.84716336522247,2.14871114947094,5.63627299519558,NA,0.566062178503213,3.46439518023662,74.2150918685392,0.16889973363914,1.23487791561682,NA,NA,3.3685834877132,2.2990809318387,14.1538300540608,NA,0.363918034412627,NA,NA,1.29957554111392,NA,NA,NA,NA,NA,NA,NA,NA,NA
"020","ELOXOCHITLÁN",NA,28.7744496531328,NA,0.718425812930958,NA,0.223666391426887,NA,0.739044043358207,0.85969232922861,0.0647818000379597,1.54335540830074,NA,0.435100648142603,792.643916188416,NA,NA,NA,NA,46.236394779895,2.06967327562587,0.770449818565709,NA,5.24168711009051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"021","EMILIANO ZAPATA",2.31964434269466,2.35219275677054,0.114677537327809,2.38403046576016,8.15392425926624,1.7615989455826,2.0597459531011,3.696586019206,2.21850583443341,2.26718951270346,16.1223774395108,1.06091055494636,3.19545049445177,0.0268313094631677,1.82333336801727,2.07411497107819,5.78876407582191,2.47109627158618,0.146596403055136,1.07723114168885,6.45895010478888,0.02028881803899,NA,7.39371419816741,NA,1001.73318729961,NA,7.28606921040919,4.61321257143322,NA,NA,NA,NA,NA,NA
"022","EPAZOYUCAN",2.55124639372914,4.60723439344809,NA,2.02458855998021,1.10152067929914,3.73358772731049,2.05478346253363,5.1825621547055,1.36703193623919,2.2273810777446,7.95145430015053,1.16683587115422,5.78221463744211,NA,1.39262628963947,2.54547981327404,0.124655027557714,490.746964077762,1.00770713462481,0.296196491727457,2.47033956941608,NA,0.187537974112404,19.032322408201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"023","FRANCISCO I. MADERO",12.7492577041561,1.10832866611011,0.253466657653731,2.26058963154801,18.1260556197342,6.01414893043573,0.00954444918738707,12.3764632717423,9.26983660796395,5.83192023475593,19.6063307722131,0.124875446779534,7.51253957463146,NA,2.22830862685605,2.10199625980003,0.616871786578855,8.20891646786605,6.54730158799837,0.901663831912721,11.3562662941391,0.0597028468949402,8.57230022866763,0.0134632170182057,28.3719065399,0.286691254924452,NA,3.40564042278776,0.0178206522798786,NA,NA,NA,NA,NA,NA
"024","HUASCA DE OCAMPO",0.310295861019984,3.1738465553506,4.30390385646719,1.12857606586219,NA,0.0654440460536131,508.890179958785,1.28638811245009,1.12395503018483,0.987957199677133,NA,17.8020245654869,1.04156284129753,336.077394590172,11.1129204615735,0.0343993888333814,NA,NA,12.8767315868514,3.89645951027057,0.292051617766453,NA,NA,0.137704347414465,NA,0.325814749884161,NA,NA,0.182273025041666,NA,NA,NA,NA,NA,NA
"025","HUAUTLA",14.5099020115817,10.826723325889,3.79469703020327,4.58445996835781,1.00236227498194,4.1944343352691,0.182598902746522,2.91142680833476,6.02082605791398,8.69307152103679,3.21585240053376,23.4551138914472,4.50663672396839,NA,22.8899322847245,7.78546551157774,0.315093436431567,1.50949884884583,1.43280278766072,0.26953301455812,18.016238841781,NA,17.0655888636082,1.03028204423211,NA,NA,NA,0.538469011432189,NA,NA,NA,NA,NA,NA,NA
"026","HUAZALINGO",15.3783424427088,57.4378065087482,NA,9.1068952516599,1.31154966900935,5.21726216361769,NA,0.283349887676871,0.585967121807085,2.01182756327896,2.36689320761116,NA,3.17643197064535,7.90583007377103,14.9234483310224,0.757707791898596,NA,NA,10.7986366969054,3.17405543253758,22.1871371301154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"027","HUEHUETLA",14.2111691588908,9.72937568572871,52.2642800498451,3.34480616680513,2.72701509418438,4.91444932578739,1.98710576564842,5.30234954115405,0.685328156673814,3.44427797086033,1.23032959711572,1.62490204654404,5.55805716458902,3.08670034345112,4.36349538877524,1.09406231968309,2.19453317568395,NA,0.623690643826054,0.733288370309281,28.2146412025072,NA,26.1159984427402,NA,NA,0.414497644445728,NA,NA,NA,NA,NA,NA,NA,NA,NA
"028","HUEJUTLA DE REYES",5.59395295444784,1.61409241893742,1.76311794092864,6.58397132932932,0.747228889335029,4.32311533099118,3.18520100098413,4.25499279056142,3.81481885893523,5.24563440360924,2.35165260919042,4.88104615994189,5.11696091917339,0.00580024504953783,4.39414604807593,1.51088569021938,0.184839670284726,NA,0.426059888208042,16.8512532081575,2.85835344742774,3.35718208003221,16.986031206764,256.443571453554,2.08427347118633,0.692301081881319,NA,2.39021757848773,0.00130915110459539,NA,11.6111565485137,NA,NA,1.64332339076447,NA
"029","HUICHAPAN",2.22471858663352,0.856661173600432,2.26596794355579,8.52608968758484,1.34206826812272,1.77692193407968,4.16607837202219,1.46522906331437,3.53476445704024,1.97174256942282,2.70082450621233,6.12697944662259,2.8924095445678,0.546869921429519,1.12978774664511,6.1833097660438,4.76285989401615,93.2347982763518,30.357490673474,0.878235645748859,3.06431258670103,0.207103703998114,0.473801201462846,0.496602071311944,NA,0.293745772545343,NA,450.887848542142,NA,NA,3.64375357213934,NA,NA,NA,NA
"030","IXMIQUILPAN",6.01769480002762,3.04076226770208,1.50328305992487,6.00568223386361,11.3756227244599,4.69103158710212,10.9355843268579,5.49513827829435,11.8263612830261,10.4029623608222,7.28530804233808,4.63927984778983,6.63037355173473,0.378514635171247,2.28496447036564,2.13732313089251,0.670237389021341,NA,0.897531961155442,5.27544678776118,7.22774855384491,2.66962950632513,7.16711013543302,0.205369423299601,NA,1.91431584307738,0.0583951632833602,1.69143408903516,0.00624054705676094,NA,31.1337112428531,NA,0.482160398503707,NA,NA
"031","JACALA DE LEDEZMA",0.887101020912289,7.20059669191236,1.78233942236455,33.9417784900637,2.72364684092804,2.77852109556111,4.6915298630111,4.44994337646742,5.1763926935495,4.67952483087626,39.2266860848308,4.97011612236169,4.29344584141617,NA,0.75661559870613,2.45859974191584,0.0192640659404932,15.5965337828325,35.9207232462269,6.59144388964791,7.95001842082916,0.0484940483768938,1.6302338408381,NA,NA,0.232866945356956,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","JALTOCÁN",3.64681397903245,3.32297967183367,5.23563093398518,0.939072313572447,0.311020364187975,1.42351638974066,NA,0.903378996631954,0.247032904910317,2.12626318832293,0.997838416062498,NA,1.51768080244311,NA,48.0126101222182,1.27774238478531,142.669189795177,NA,0.284531598812333,0.0836326929303674,23.0333153954059,NA,8.9489502898321,185.675383067846,NA,0.756385741203979,NA,NA,77.1192025808816,NA,NA,NA,NA,NA,NA
"033","JUÁREZ HIDALGO",NA,73.1632301987019,NA,0.187809997901655,NA,1.43847018170345,3.75339890691455,4.45132778109178,1.02281542735868,0.693664931212189,NA,NA,2.34255767918993,3.44993970847368,26.0491290625433,NA,NA,NA,123.771512931495,5.54036692993821,11.228834069029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"034","LOLOTLA",NA,1.81115526629018,NA,0.346214601931414,NA,0.426949773718433,0.102901970504221,0.0542382945750495,NA,0.0297145209505614,NA,5.38529957629828,0.0570262395284382,NA,NA,0.0362597447591656,NA,NA,0.0504651958392714,0.151892907880586,0.0565431581381493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5080.93387520129
"035","METEPEC",3.38753887136144,0.919871488317872,0.0418679070989256,0.753924149011608,5.39171584254377,1.13164481033174,NA,1.43807083779456,1.96325730773089,1.04193029994903,0.18769639179289,NA,2.69484412139546,271.23854500537,0.0739650345184873,19.9031488030568,0.423722618930426,388.444307454021,0.856339921790177,NA,3.00877468482564,NA,2.54988773727632,2.16480333462251,NA,0.569113684709791,NA,4.5256714627424,NA,NA,NA,NA,NA,NA,NA
"036","SAN AGUSTÍN METZQUITITLÁN",1.51196230039665,14.5703252201896,12.1511753435008,7.04150567392087,0.290134046602343,4.21153044782715,0.475679740680139,4.01159398942071,3.24061330354019,12.137113243613,2.09436613931219,0.691509786068497,3.61017976470382,0.437221426922058,16.7127599617369,6.44316251265779,0.0328333986409207,NA,0.233282911421141,0.702147671980931,12.8075808340822,NA,1.77827024436479,NA,NA,NA,NA,NA,NA,NA,NA,NA,274.483502951692,NA,NA
"037","METZTITLÁN",1.59246561531373,3.37279825495569,0.00768824231756538,4.01161080188901,0.68755954370087,1.82223025234994,0.84670175701035,1.48954393827387,0.853289340789472,1.44465106936456,1.78676208401771,5.50798589513669,1.73058230189075,1.93525527838325,0.913271657903055,0.397216541596853,0.00864539716959837,NA,1.03257058754546,0.0462208128556213,1.41441040583118,0.0217633343799295,0.4682382322204,0.0441694254347928,NA,0.418027479038106,NA,0.0923392462580565,NA,NA,NA,NA,NA,4934.66261341651,NA
