"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de muebles","Fabricas diversas","Industria del papel","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de material de construcción","Fertilizantes y agricultura","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Generación, transmision, distribucion energía eléctrica","Minería Metálicos","Fabricación de equipo electrónico y eléctrico"
"022","EPAZOYUCAN",4.15588658905074,8.53655284736209,NA,3.10184078421399,0.737908472206501,4.88655825653498,2.7362182985088,8.05866161562838,2.10449430686401,3.43792657771927,5.1885995954762,0.717211018690058,9.053547532262,NA,2.11468095692693,3.5453719998622,0.17648712843216,107.209789335495,1.75848400586586,0.432968901698199,3.80439523233223,NA,0.253288917738699,17.1589564874932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"023","FRANCISCO I. MADERO",9.43102543857623,0.649287665818158,0.179106930626559,1.49877458586701,8.60345797079487,4.40794016135095,0.00550005986983541,8.32811711170841,6.17551298848875,3.89534127293012,13.7581015653221,0.0332159059310208,4.82423405600907,NA,1.46425755062487,1.16761166134759,0.330156022931143,84.1147367421259,4.94422585116099,0.57036557928852,7.67708257662683,0.0119606390883068,5.01021319810078,0.0210106646062318,0.213818910985364,NA,1.98195301571522,239.880524428611,0.0103481361138334,NA,NA,NA,NA,NA,NA
"024","HUASCA DE OCAMPO",0.263635903362856,2.69065910462732,2.57847452806444,0.901842810521262,NA,0.0521088706896982,699.904942777833,1.04329639583622,0.646150945119951,0.795348543736655,5.53297538241175,18.9342520900286,0.815449097688367,296.529756903027,8.80148106916434,0.0249896496855972,NA,NA,11.7199840436036,1.93801057775277,0.234588046297921,NA,NA,0.064753616154713,0.292878729245346,NA,NA,NA,0.12756935516131,NA,NA,NA,NA,NA,NA
"025","HUAUTLA",12.4141186609323,11.410577165141,12.309545455913,4.97006074270409,0.979652798355769,4.15195598968828,0.157665965581935,2.93548176970821,6.56886892175609,8.70022400320921,3.06152158715207,14.2360698041696,5.23484665568754,NA,22.5377150188484,7.03123880962594,0.289266209507897,0.747387717694911,2.73988491830375,0.255472332124118,12.1233875440009,NA,14.9452559438101,0.602296484230608,NA,NA,0.469546407887547,NA,NA,NA,NA,NA,NA,NA,NA
"026","HUAZALINGO",13.6033082422998,50.6963902929767,NA,7.5766424449788,1.07349698761977,4.32504489094849,NA,0.239257286779201,0.489853337420254,1.68622899719341,1.8870721253049,NA,2.54947109831556,45.7598304638718,12.3056109126914,0.573083143505586,NA,NA,10.2328532829003,2.51950386375825,18.5547013860142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"027","HUEHUETLA",15.1823553720961,10.8927106099767,41.2968626601031,3.07738418709684,2.69573974579479,4.43321120047261,5.62274949100775,5.4073541555493,0.691935686517242,3.34571266448153,1.18469250264158,0.655031864393508,6.02552722236119,1.62855701065061,4.34553093979552,0.999383728424208,2.03771502888597,NA,0.713791510511115,0.702990815535617,28.4971590151754,NA,23.1329842533126,NA,0.468511147762195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"028","HUEJUTLA DE REYES",6.21045149220511,1.66681288463544,1.55249210026725,6.73966256530103,0.716937464643336,4.35136998219665,2.91864607325012,4.37953286352072,3.92383299156244,5.67632979602569,2.76199250802264,13.988069735237,5.35657697165685,0.0281418492746313,4.3110024434161,1.33501976824309,0.16371608082799,NA,1.66275646396251,16.7169516091256,2.94111768639224,12.5025518797546,15.3280315113323,154.475070572506,0.797190860733294,NA,2.14767040277105,NA,0.0011737184895325,NA,7.38363020468854,NA,1.6745657432074,NA,NA
"029","HUICHAPAN",2.46755599939364,0.96853744461153,1.30882878958696,11.5038317129391,1.26937542090092,1.59063004948525,3.77739818587728,1.49661502231943,3.84069475837573,2.11001923783093,2.69999602342162,5.61502869118236,3.43002112564103,0.0545321416139243,1.08380849410593,20.6857586763171,6.78601374446854,27.7186083376546,36.0703710673584,0.874114862477075,3.21323648494624,0.146885360825963,0.435716269258561,0.304851449371816,0.344708567654723,NA,393.294929204603,NA,NA,NA,4.19791924764956,NA,NA,NA,NA
"030","IXMIQUILPAN",6.31861692845725,3.05746556730407,1.597593604086,6.72176773309505,13.0283674452385,5.02914090369128,6.66870140447473,5.86045771177507,12.2445518349524,10.736636096544,4.81326120573505,8.51246672743868,6.64801872786096,0.0839463278592378,2.27511573595901,2.56306650204768,0.638196688393671,NA,1.45482361529031,5.02892241905832,7.47813015307238,1.99351882430001,6.5101905995141,0.124525280228856,2.39150491847766,0.0573569189712789,1.52982034988978,NA,0.00563186181608887,NA,35.4289255769235,0.384105145007317,NA,NA,NA
"031","JACALA DE LEDEZMA",0.860292827375223,6.9676429787541,1.21880814675555,30.9584534869523,1.87120427028661,2.60576813365036,3.71929910482721,4.11940815953311,4.74414822448327,4.18785373850578,34.2870142263251,1.81871921981928,4.0056525339297,NA,0.683986444757758,2.03864649208547,0.0162372745219602,40.3166810395101,37.3173762143893,5.73613405661398,7.28885059300667,2.0220322736065,1.31080717985863,NA,0.238929397368303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","JALTOCÁN",4.21178201311651,3.82934185800747,4.26376256370787,1.02005303181665,0.147720122293732,1.60272931983242,NA,0.995931298481724,0.269627938389122,2.24587936870257,1.03869327382172,NA,1.74983064219511,NA,51.6900047762054,0.492874648342205,143.210355822712,NA,0.352026683771946,0.086675003089465,23.8115193067233,NA,8.56919557363174,118.684609853244,0.924238650800514,NA,NA,NA,73.3685932417779,NA,NA,NA,NA,NA,NA
"033","JUÁREZ HIDALGO",NA,75.245653247617,NA,0.18206837377553,NA,1.38949880302761,3.16258703510544,4.37966666849285,0.996321372151306,0.677461925808317,NA,NA,2.19083757812361,5.27617511419484,25.0285998136917,NA,NA,NA,136.665177785138,5.12446349738057,10.9420002396918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"034","LOLOTLA",NA,2.2376625733836,NA,0.403191674436456,NA,0.495432475008227,1.83734370118602,0.0641073578151379,NA,0.0348621571447915,NA,2.516115078203,0.0640685643058662,NA,NA,0.0383884297037535,NA,NA,0.0669390437051219,0.168770968154076,0.0661900161699951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4877.32919965514,NA
"035","METEPEC",5.88174484934102,1.59365104283582,0.0512595580846453,1.23117840049024,8.66223507798418,1.84138659536716,NA,2.38346780512603,3.22149103558475,1.71415997047736,0.293732933197831,NA,4.2455217065705,260.505802862828,0.119714660733757,9.28072962474821,0.63943366238537,59.4766156371276,1.59279869034348,NA,4.93888882305736,NA,3.67078237943091,2.08031042262396,1.04546486134669,NA,6.48718570875872,NA,NA,NA,NA,NA,NA,NA,NA
"036","SAN AGUSTÍN METZQUITITLÁN",1.18574663515155,11.4015622787235,6.71956158611726,5.19383216680099,0.210538105220176,3.09530772048592,0.304957269926029,3.00313618908181,2.4017951304389,9.01897390510236,1.48039759499065,0.20463276219951,2.81048985782066,0.508763218408271,12.2179430191754,4.32046900091845,0.0223799304327443,NA,0.195986731734707,0.494134194774712,9.49589129161664,NA,1.15628364920686,NA,NA,NA,NA,NA,NA,NA,NA,1027.82595447689,NA,NA,NA
"037","METZTITLÁN",1.73535803857762,3.58647859211254,0.00590769143385098,4.64807125947611,0.693282789595754,1.812555038517,0.754263143263142,1.54945676930336,0.878765826329122,1.49167008230395,1.75493316226701,4.91227197283299,1.72282113782223,0.476532879250486,0.927722286272934,0.370106935540449,0.00818834121639882,NA,1.20540110092645,0.0451983017291451,1.45717650803809,0.0151650266149945,0.423059628853708,0.0266396540853516,0.481961533540425,NA,0.0830724017864557,NA,NA,NA,NA,NA,5034.73800884111,NA,NA
"038","MINERAL DEL CHICO",NA,5.58484029245255,0.109764436849132,2.00622566137778,1.43123767510443,0.160176591753458,232.933402904206,0.717725904561764,1.02046244638578,11.7781452274544,NA,3.12995961779586,0.68195460733275,108.460801571922,1.02540191987819,0.764061935349363,1.36924855532714,NA,0.333079365830182,0.839780850335098,1.31740923621857,256.980939691065,4.4214830140525,0.494962653563679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"039","MINERAL DEL MONTE",2.66910385395596,1.66650405842748,0.492209297130939,2.09443722461011,23.2220396145764,10.0107767131932,48.898716037861,7.81205923038541,5.23479559512073,22.2828673269797,2.69921178380071,0.460626307543818,5.38579312846075,NA,5.11152040892968,1.01200131596696,0.104461747777574,11.0168188959184,1.18655517628909,0.177966583355445,9.7734389608635,1.00375387776237,1.66578109845591,5.13973830565207,0.118606568376926,NA,0.0817736007298539,NA,NA,NA,NA,NA,NA,NA,NA
"040","LA MISIÓN",8.51609175101136,92.0931171607784,NA,NA,6.04838088673112,6.09212674892306,8.76087357564734,3.03309486507644,0.689992519197347,3.54809480553023,NA,5.87873100877467,6.10793765685874,NA,4.3333273580547,NA,NA,NA,1.40758652814586,3.54889654776521,7.57777412135689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"041","MIXQUIAHUALA DE JUÁREZ",5.45084559050585,1.17779952048149,0.831337744378756,4.17602767340808,3.253011198989,1.41980975878219,0.598384868753356,3.47438144202029,4.41003559977215,3.0590630745713,7.0802842441736,5.3284520185907,4.12896865189411,NA,0.954614161584651,3.58287095485948,2.39014796577603,6.73426725814615,1.06387680450388,0.204436951805094,3.1189670619178,6.5578394824121,1.32885125789281,0.0728915058424382,1.55450392573001,0.0116588854324757,0.783963300394216,NA,0.0792446338773795,2107.03863815341,2.04845608625599,0.0780766812441096,NA,NA,NA
"042","MOLANGO DE ESCAMILLA",2.81855688770849,27.9485918577307,0.944232317567544,37.7590957740479,2.00182267948861,11.8132712978818,2.8995719258252,4.0154336862419,5.70914224597232,4.69722842109225,9.46457181268148,0.700442617773328,4.79387239788511,NA,2.0652396946308,2.0945873722792,3.13773365608693,NA,0.76327583640485,0.751726372212886,5.20059594203676,NA,5.38710399686045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"043","NICOLÁS FLORES",15.1881222918337,25.6042857461933,0.206820121185577,4.75837719810165,2.69676370514539,0.429048981048132,3.90617031675429,3.75653340565223,0.0769109459804082,2.56253425126164,NA,NA,1.16820054582469,16.6827582210489,0.483020173520819,1.43965920655559,0.0716656303755413,311.262563977482,0.627594116845856,1.58233014463834,9.92914447364119,NA,0.92567084672546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"044","NOPALA DE VILLAGRÁN",0.716541456134962,10.8879403127457,NA,0.859340851509043,4.58018090586007,1.97225732087856,1.6585589855073,2.83559677994211,0.362848548139162,1.19414261508284,NA,3.09146686679434,1.66273753345902,20.6724919645449,2.46472905556063,74.864012937568,0.121716838307412,NA,353.070454922003,0.298603112126643,0.637591686648287,6.73663619445687,1.5721584835905,11.8339164496914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"045","OMITLÁN DE JUÁREZ",17.3635811792757,25.2200905391124,NA,4.27955630886005,41.7516601090076,3.81018610305763,7.31654977119738,7.03626862139943,0.506460819043099,8.15632459548547,7.80419787856125,0.479449146798411,4.15529386523958,NA,3.18070190890656,0.263338827783447,NA,NA,30.8760516705249,NA,7.26485616783419,NA,0.677285498067855,0.682368163918257,3.08633142971295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"046","SAN FELIPE ORIZATLÁN",8.16707071275442,2.99645881534027,2.89805084043755,7.33894177381407,0.644499532882544,6.50211424371485,0.732349158425745,1.8321915995474,5.25866118560735,6.11222234155936,0.832370532804174,4.91114917641664,5.30963213031618,0.560673595199575,33.2492446294595,1.18667019860221,1.71273683388138,NA,14.4890320348652,1.60031589323661,18.2263171139763,NA,76.3004190520946,0.0727791838453431,0.0822945348303382,NA,3.63124330832218,NA,NA,NA,NA,NA,NA,NA,NA
"047","PACULA",6.80721578590184,35.0310025609019,575.586574734425,1.0320686625347,1.20867162587855,0.320161349833291,NA,0.26938454150291,0.137883905732831,0.585974935690419,NA,NA,0.498350738849049,NA,7.79351189891608,0.645245718257969,NA,NA,146.222427737112,2.83675954989693,1.1125441924742,NA,1.65951816275977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"048","PACHUCA DE SOTO",2.79475193957626,5.7392104569986,3.23933551187084,6.89328008450254,8.37296974781153,7.18782394487928,1.94904206409486,4.25455423155056,4.28629026260384,6.09190072471981,6.73212492078121,10.3216904183184,4.4833270916344,NA,1.01659334514269,1.00906409932679,1.30309634251649,0.00933403236416946,1.70372318637558,43.7474233859042,1.69055048392934,34.277910925181,1.36455378016823,0.151021517110644,3.48776763049032,0.00916243488438004,0.217928337355459,NA,0.587803177011047,NA,55.6220378751957,0.425750345284909,NA,1.74372530107689,0.35294459375726
"049","PISAFLORES",18.7312011064892,29.5537900390379,0.0832871942979772,6.6976978080518,NA,3.47374977530902,0.393257150546521,2.17838777592744,2.50875710761653,9.73500015370397,1.90904430651271,4.2221415211679,10.8830082037097,NA,1.75062539032149,5.21780268934809,0.0288600028244783,NA,2.58799995468434,0.637209945746951,3.35985203692294,NA,23.8573391332325,NA,NA,NA,1.1711626014763,NA,NA,NA,NA,NA,NA,NA,NA
"050","PROGRESO DE OBREGÓN",4.45147057051964,0.351570518652465,1.79386604250655,1.63643777495779,1.79876352349645,2.83089587881486,0.134578908004186,3.41045255412729,4.36783319747672,4.25570937467963,8.62435979530576,6.32147040517082,3.93757311216298,0.551070193565729,1.17422052194562,2.74064472090166,0.0537712722031036,19.5325375707252,1.43034839047836,0.387668390286294,3.72533672911617,1.97838433596405,2.2503029156503,0.057122454948305,2.72896138732224,NA,71.9659668389302,NA,NA,NA,132.935013618894,209.035629832501,102.756056299511,NA,NA
"051","MINERAL DE LA REFORMA",3.16487516087805,1.47766496920147,3.9510720567277,1.44728240467642,1.56531816966438,4.73827198540989,1.48000032429237,5.79369421145249,4.98170368453293,5.54336554359808,9.39303218489187,6.29062750891058,5.83855655624344,NA,3.55641168353917,2.11474665464882,1.59278086263905,NA,0.36886007084333,13.5525635643104,2.39320553665352,10.7871460426143,2.31375867479978,30.7132184571994,1.75900933091472,5.71633992819536,29.0187663101018,NA,0.743694530457722,0.0678124919848156,20.7930434469436,26.8908547561619,0.663151660311693,NA,0.0182499539075175
"052","SAN AGUSTÍN TLAXIACA",3.67868648258753,0.710013607420765,28.7527100149026,1.13674785132779,47.9549215532449,11.204692181405,0.041932682652575,4.06495884272407,2.97229647035669,2.08213869899094,3.33888970962902,2.27915489621472,3.91046403234754,1.17597225586436,1.91147753793889,30.1929612406873,7.8790421214259,NA,1.76811441474132,0.299638182772103,9.45165142825939,0.233442315067203,1.43093712103608,0.0901047212317954,4.71117445487721,NA,0.124880093430012,NA,211.693187630454,NA,NA,NA,NA,NA,NA
"053","SAN BARTOLO TUTOTEPEC",1.81614146988221,7.1503638249649,0.668721159789368,44.5428099514402,2.01543363346712,6.46528337733492,4.20377317744226,3.52167202792548,2.65785684536263,4.90269923540145,9.52892409157645,0.705205123630009,4.63612426201066,29.9541402787361,2.07928183868594,1.54934379876321,0.0771256832875426,NA,5.04605707541148,29.0928362178184,7.92352286302465,NA,1.77101467043414,0.11151907434014,NA,NA,0.347758169860463,NA,NA,NA,NA,NA,NA,NA,NA
"054","SAN SALVADOR",5.7178694983676,6.58610909107658,1.84870302148407,2.93790668532617,15.3700477218571,6.12585707774307,NA,8.14591534320487,11.6662445126458,9.18567879477521,11.8963032814064,0.521929817270232,6.37879342072654,10.9131127846826,3.46252189036575,3.02796728207816,1.37052775199,2.3597386640895,2.64435211706003,1.26032296692693,7.26322950367935,2.23696187476869,1.65891392625352,0.0464267552517183,NA,NA,0.579103925832568,NA,0.0914641000981781,NA,NA,NA,NA,NA,NA
