"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Fabricación de material de construcción","Industria alimentaria y de bebidas","Industria del papel","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de muebles","Fabricas diversas","Fabricación de equipo electrónico y eléctrico","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Minería Metálicos"
"013","ATOTONILCO DE TULA",1.7494246831677,0.423816892939449,5.29911068770687,1.59017320035745,2.62429680526205,1.59782809593486,1.09078237613505,2.14021301955891,11.0221766583663,2.74446761450272,6.15333958565237,1.25424811855283,1.95945619000083,NA,395.76907137764,0.426756403220308,0.15832259840573,45.6745462357294,0.00520539603378904,0.904589656679624,3.09983562650078,0.52334463532397,3.73554951293261,40.6534829901161,NA,0.95388635271673,0.713664036050641,NA,NA,NA,3.09208752645929,252.993287427252,NA,0.153468889812499,NA
"014","CALNALI",8.68945974467722,9.61601867487638,0.457470739484709,2.63618740299158,4.69259397106639,8.23264913178462,4.82876455808448,2.5059006067589,2.39866936475714,1.62654131460014,2.03249007364825,0.234321992840988,4.11686486238823,64.3655128631951,NA,33.1702172057495,NA,2.44120385803217,0.222471374222821,NA,8.79310336819152,0.440593818742267,8.14043382445462,NA,NA,11.2930121168054,0.155617380662602,NA,NA,NA,NA,NA,NA,NA,NA
"015","CARDONAL",1.01658812689898,9.03294154560614,NA,1.52469786374915,0.0953109399106024,2.21842242525591,415.102909203872,0.458074509030274,0.194876806388444,1.47303198222267,0.208988911280972,0.38550307375524,0.128856221187476,62.802817412633,NA,0.391921504597126,NA,0.446248049780886,0.234244231321195,21.8201838056598,11.5810413531688,3.19662566797229,0.699690904464304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,897.522163145427,NA
"016","CUAUTEPEC DE HINOJOSA",3.76917855987557,0.544737587905991,1.04143691775149,2.65770264239202,8.64284770516587,5.89470780821187,0.141308572094773,5.6145173050863,9.90778023403241,2.67513951314896,2.23137774238384,1.73901933909086,7.0810466113079,12.2922319184878,0.24506051024151,1.36638425691027,0.388107306093284,2.59567904603371,42.4829153930876,1.49623612598874,6.68370415376499,0.157945394205686,3.00218004333973,NA,NA,31.5127835744643,0.0557861855714979,NA,NA,17.5515975953143,NA,NA,12.8437612093649,0.376209069292918,NA
"017","CHAPANTONGO",2.40278423309975,3.5704430797014,NA,3.79997555852693,9.69438295326078,3.75777129029649,0.98098970362163,11.3656920703139,2.65309241283421,1.68486927218028,2.84521747437108,2.33258538859358,2.22773588853577,0.529077441564695,2.44980641015841,4.00770276321587,1.19747165302106,1.20006154321084,9.21635025057714,33.007157002478,100.248212109842,0.274121384062816,4.23365957730727,NA,NA,4.49670382835065,67.4792847696082,NA,NA,NA,NA,NA,NA,NA,NA
"018","CHAPULHUACÁN",4.77058585504818,9.76163547428981,5.25683636499683,8.61064228605738,0.447269655957774,2.49362295332871,12.1731061500888,3.35878986336013,6.42212249144752,10.6138490617127,6.1295690803769,2.82666638482976,7.95845090989694,NA,0.844435000691699,1.83918652662568,0.928714484090164,0.523531747469217,0.0687029847068149,NA,34.2723583111954,0.850393407261733,6.20780845036292,NA,NA,13.9499050871628,NA,NA,NA,NA,NA,NA,NA,NA,NA
"019","CHILCUAUTLA",6.18802388294205,17.6343030834324,NA,6.67018387154255,1.48521615940487,10.9765729317763,2.52639734825448,1.78452668618457,0.759184051203378,3.91607164093921,0.814160757574281,1.50180922352293,3.48901582062715,115.327295379516,NA,0.381703396530278,NA,0.772646310485492,0.0570342643004719,NA,4.4405232424517,2.82384019012399,3.60486355477788,NA,NA,0.723788217774494,NA,41.957860784167,NA,NA,NA,NA,NA,NA,NA
"020","ELOXOCHITLÁN",0.525215515614939,17.7334061806845,NA,0.718764548853648,NA,0.115508954592866,NA,0.946648236722134,0.906139740140626,0.0920723000573306,1.7275703446361,NA,0.847601774344128,1226.92062732891,NA,NA,NA,0.409870176273342,NA,NA,9.42236062959225,1.49797890805511,0.813357097363179,NA,NA,6.14323424061691,NA,NA,NA,NA,NA,NA,NA,NA,NA
"021","EMILIANO ZAPATA",3.34830854781353,4.61709130621715,0.275433044817874,2.33299200082652,11.5537630702612,3.67291327214603,0.533992530139833,7.63803421443258,4.01162759120211,8.32781932039111,19.5794792970624,0.564320419956763,7.08958583926459,NA,8.55829346805121,1.29086115526204,1.15881323688923,1.46979501332985,4.44397724273187,10.0518102917508,0.41714318665753,1.16984873935144,11.7533794285258,0.0235524275076867,NA,0.271970943190856,34.5392800236803,NA,NA,NA,5.269245385141,NA,NA,NA,NA
"022","EPAZOYUCAN",5.17081394492573,8.66120650817689,0.0680564772905478,2.40791748616994,3.80077966027898,4.34887909814783,3.75306477613276,5.24242856273714,2.23026541727571,3.99750435859652,0.472448640568769,0.871483573048918,9.21683483148906,NA,0.406790594589552,0.221498333238885,NA,2.8022391127409,0.0330963638125722,76.3242250643118,0.25163939304612,NA,4.17680614521509,NA,NA,NA,72.6006149734209,NA,NA,NA,NA,NA,NA,NA,NA
