"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de muebles","Fabricas diversas","Industria del papel","Fabricación de material de construcción","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de maquinaria","Fabricación de equipo electrónico y eléctrico","Minería Metálicos"
"019","CHILCUAUTLA",1.38833343140622,10.3884726816665,0.0824121281534842,5.20736603793329,1.99979209968316,6.90930980550281,14.4151549368269,1.87221306923442,2.24846954061532,5.67002234695075,NA,3.11879105050816,3.37130934979049,119.562544503335,0.174339554763824,1.01311963025086,NA,NA,2.83604895377505,2.82056697508073,14.1067997672282,16.0819284647114,0.311251029473617,NA,1.52082238045523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"020","ELOXOCHITLÁN",NA,33.8225811768453,NA,0.765550685430311,NA,0.241991243396125,NA,0.803260379210324,0.964690678383134,0.157240471980171,NA,NA,0.406769045150073,735.631829527557,NA,NA,NA,NA,71.9092988136221,2.72282674672564,0.823445653598685,NA,4.80744551281517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"021","EMILIANO ZAPATA",2.46419296357606,1.64245704579197,0.523014055457869,1.85416634054713,4.90683383397732,1.46351581793417,1.21797215356779,3.12469966519959,1.60589386282163,2.00942732732856,10.2431236849557,0.592907360702361,2.7655300674759,NA,1.23776117293915,1.15085772113231,4.87479156698309,1.12568949457553,0.166406112707952,1.03436064046701,4.87245475705358,1.82379355356545,NA,5.59937943487375,917.508206508903,129.256061583173,NA,0.114320878643547,2.02251002474422,NA,NA,NA,NA,NA,NA
"022","EPAZOYUCAN",2.9999923559621,5.89792217138718,0.785337047049518,2.10898491856902,12.488464899059,3.38549707838238,1.6273822183103,5.50649460752267,1.49957559867507,2.34891882923638,3.00723374087521,0.421204170937642,6.1438639674299,NA,1.5068925657248,12.2619992371585,0.135495258505255,299.423838067152,1.53207525476098,0.380927915680468,2.58102322898316,0.129204249069168,0.168142372733257,19.3049565555867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"023","FRANCISCO I. MADERO",7.6627860049107,0.60013299356779,0.147786157085491,1.58396209657587,7.85012002423684,3.49786644985552,0.00405934682995604,7.79150105990161,5.36955529353224,3.62614574819489,9.89522007946554,0.172138968013384,4.42298784411114,NA,1.1855907595842,0.970803118194787,0.33692369879621,194.776016135054,10.9793409088137,0.622714994932307,7.00751324188838,0.0132008937899403,3.86532691074044,0.0073334388185303,0.188866063626248,0.599609221791583,209.182470479718,NA,0.00561943173983275,NA,NA,NA,NA,NA,NA
"024","HUASCA DE OCAMPO",0.373974521876703,3.65305476020064,0.0887972169389415,1.20494110500014,NA,0.0709434042204331,814.79316742983,1.40088022800809,0.747739328625895,1.14121989296603,0.0937193054992491,24.0459576160266,1.07741374147248,194.744961826143,12.3246386671556,0.0303226012455016,NA,NA,5.01637165358319,3.3506050597849,0.312747007771183,NA,NA,0.14316042620083,0.40966298853299,NA,NA,NA,0.109700273335362,NA,NA,NA,NA,NA,NA
"025","HUAUTLA",13.1447102894055,11.5638588523723,5.73512647832736,4.54212054881701,3.99353897507251,4.2194006918,0.137548368670833,2.94218753719566,6.86577981051871,8.71927774686738,2.60275338387022,8.05293536372766,4.38737982071317,NA,23.5573256036332,6.36848016669652,0.325752255469362,7.88384038164604,3.50148816746636,0.329692171270802,12.0644891857245,NA,14.5526808792749,0.993955518944539,NA,0.203173746300247,NA,NA,NA,NA,NA,NA,NA,NA,NA
"026","HUAZALINGO",15.9655574293254,56.9477576717792,NA,8.37555994766987,1.13566469641368,4.87184058277104,NA,0.265803416168947,0.56750509852007,1.87314350985874,1.77823278997251,NA,2.81291095845997,16.422651066936,14.2568539846605,0.575341905542015,NA,NA,14.495109802425,3.60399526553197,20.4664887186275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"027","HUEHUETLA",18.5314213509431,12.7252284346081,3.83300709234605,3.53792650960237,2.96590535379286,5.1933895755425,2.72694068548821,6.24755704571337,0.833680142226746,3.86521066830671,1.16100953228636,1.15637508963168,6.514146814992,2.68059032282553,5.23592479108688,1.04344768023002,2.64525550542202,NA,1.05154090479614,1.04580054764801,32.6904551737018,NA,25.9660424623651,NA,0.563885521034261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"028","HUEJUTLA DE REYES",8.19307387243434,1.83817067537079,2.41137160227624,7.67101003588175,0.729526548960562,4.84579329940024,2.71465019017456,4.58396374446196,4.3724488845563,5.7657085633375,2.42120829978747,7.75213668830749,6.07269466272819,0.0142592417942052,4.72312665996569,1.28915934133793,0.752428735622711,NA,0.638916957384623,4.58224859140692,3.14461317101797,1.39600398140154,15.9125941008311,271.787810494846,0.88738855900346,0.570496819267728,NA,0.0153712232011503,0.00080322628514302,NA,6.71045168833321,NA,NA,NA,NA
