"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Industria del papel","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Tortillerías y panificadoras"," Educacion y otros sdervicios educacion"," Hospedaje","Construccion","Fabricación de material de construcción","Fabricación de muebles","Fabricas diversas","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de maquinaria","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Servicios de publicidad","Turismo","Agencias de publicidad","Fabricación de equipo electrónico y eléctrico","Minería Metálicos"
"012","ATOTONILCO EL GRANDE",1.21087605068808,1.38355133753299,1.04930124236945,3.80987287994627,0.429598793122341,7.41254706882499,5.04713004288147,2.73924877205977,2.74776526472893,2.85615438637735,3.62789603042244,40.4769448933699,1.61064042093599,0.862261020579456,0.538010622681337,0.318994972371544,NA,2.09927858570438,5.0185703709454,1.89156027919042,3.88702955928031,0.487442919367368,3.77959288465055,2.05474012787922,0.199901376018304,NA,1.32233985107968,532.634193352967,0.0533853741761181,0.0459562432617151,NA,0.616603782289121,4.86267684788983,1.42546820427986,NA,NA
"013","ATOTONILCO DE TULA",2.42101175769688,0.865798715817322,5.66956156653136,1.73702288841201,1.23686629135724,2.62205339158848,10.0868437004829,1.59513402524002,1.6020068098431,0.610725678372215,2.24944343499261,0.00748235407845539,0.343780259633558,1.08139990230197,45.9488002745895,0.0086570333379017,97.8170284987105,7.13107310268117,2.16869039970101,2.45675779781988,0.289059008890128,3.63187793204986,480.191589971099,0.295587424959548,1.38273476163594,3.82450363925286,NA,NA,0.00960642971230508,0.0846806522965498,NA,1.89560027807423,NA,NA,8.74361586805933,NA
"014","CALNALI",12.7023623714432,7.49161241444824,3.54298386171765,2.33706077491552,0.362342298694079,2.02468811508885,1.62033324242392,2.87428823244758,4.57858882414601,0.699188170662624,4.01053876453175,6.67901921383425,10.3142639623918,NA,8.27929066373171,1.01545234922456,NA,2.08022800340978,7.15113866598996,3.97855552165125,1.24433111780028,NA,NA,6.21765736355476,5.13747736657376,NA,NA,264.057306148258,NA,NA,NA,1.2227433818106,NA,NA,NA,NA
"015","CARDONAL",0.403656247206033,6.07090591786254,NA,0.950657132623285,0.548206772917713,0.635720461168903,0.111569925264091,0.810187949882607,0.101776874165086,0.625940033852506,0.107973531079356,1.99605736434707,NA,NA,0.131767789388457,0.144339058990743,36.6507019931966,50.3565864561743,0.469589185105424,2.29244767091706,1374.6857978665,NA,NA,0.085324460157809,NA,NA,266.762813530676,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","CUAUTEPEC DE HINOJOSA",1.86367629296677,1.73208064681987,0.263002980666633,1.72506289950268,4.0999060071256,6.69215717367333,8.29816355055238,2.71013253114364,3.49514381224741,1.35544072488925,5.83841485644395,10.4260108834592,1.2218853919889,3.09558503245662,2.36756635638195,33.550818268914,1.76036886799726,14.9419655969474,2.32863393008745,3.25584077532872,0.183897032463284,0.892835971274637,0.88303287601759,28.2799609944802,1.46461570883483,0.0139641796676985,0.605523507668438,NA,0.0244461353886604,0.00526105025050418,NA,0.125490713311788,80.1614993382947,NA,0.0847830905590744,NA
"017","CHAPANTONGO",69.8589478925939,3.1454309469858,0.455270764260943,3.84928027933281,3.25362307591201,6.54498776087494,4.8272246802528,2.80951464297728,5.43643826495882,3.71497223108069,4.54942928791701,4.26479697813781,0.910915721345201,0.884379318919945,1.1261457311546,15.7659918152321,11.925590507936,11.954711967235,7.86610053160968,6.28790097778601,3.17820291937803,NA,1.63456955404002,1.64074618148646,5.12572871076273,NA,NA,NA,NA,0.294594314728229,NA,NA,NA,NA,NA,NA
"018","CHAPULHUACÁN",8.72085025798092,13.2059820385332,10.0155686195571,5.21498499345611,0.842226714348939,3.26817737310695,2.91661875194766,11.2024471763219,1.407266124818,20.3485284711746,7.01878138890261,NA,2.00591980888475,3.21931065178288,0.711699105387165,0.0701638706011581,NA,65.5853887284664,4.35259077749917,1.29127553232694,2.89231732724612,0.0597268682698733,NA,1.1797790351048,0.230353548161013,NA,NA,NA,NA,NA,NA,2.84213889646851,NA,NA,NA,NA
"019","CHILCUAUTLA",5.67503024962535,14.3534310143442,0.0731376452304943,9.08963436294034,1.92681894612767,5.61593019337639,8.84770986215423,8.82353932967419,0.357721974822034,3.91117018354301,5.77362503534971,NA,0.66598867954569,1.45482161774445,1.04204935556786,NA,NA,2.99490145186923,19.3613550512604,16.2931982768202,11.7634661745109,16.3337843299608,NA,0.299895576855376,NA,NA,NA,NA,NA,0.484613523136937,NA,NA,NA,NA,NA,NA
"020","ELOXOCHITLÁN",NA,22.0091847694235,NA,2.37298107363352,NA,2.18630286941843,6.44998924694908,0.878925182307773,5.88384138825064,4.02070368577983,2.36946854021509,28.8486088564132,NA,NA,NA,NA,NA,323.463753422967,6.78687645269132,2.6799190744662,NA,NA,NA,44.3943710005385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"021","EMILIANO ZAPATA",1.01864109748347,1.1544595945659,1.04766169486985,1.17988450033175,1.09307224672294,5.85600187575367,2.56218985260119,2.59024541007459,3.45303901232854,1.01093263976866,3.24952374903448,0.559680305081366,2.24472971406633,1193.31788810782,4.63460058008813,9.28915354445469,1.5650259949001,0.411577529139126,4.20321870612502,1.93257808168801,1.00204374480728,4.13081094232158,5.57937330653059,0.0956974899519413,1.31841868902257,0.102614563487403,NA,NA,0.179640306237536,0.68196895489564,NA,0.922157625771527,NA,NA,NA,NA
