"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Fabricación de material de construcción","Industria alimentaria y de bebidas","Industria del papel","Manufactura metal y herreria","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de muebles","Fabricas diversas","Maquiladoras y textileras","Fabricación de equipo electrónico y eléctrico","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Minería Metálicos"
"011","ATLAPEXCO",7.34701112937015,4.34441846997766,1.4781865508678,7.74817173245377,0.0389558598951944,3.70303229024952,0.0635475646710896,2.47301943336624,1.35967895465331,5.08935011941643,0.0817738409080185,4.67520110786013,1.17698599470067,44.9110535813214,NA,2.16086848795415,0.367239772136465,0.997767152462383,269.314032921412,0.450258520430431,0.332451215998125,1.70471572614304,7.42787037044453,NA,0.608086103538936,NA,NA,NA,NA,124.327603555902,NA,NA,NA,NA,NA
"012","ATOTONILCO EL GRANDE",1.69913500547627,2.23847180616697,0.337433235416676,1.10562637635626,0.145461865573406,1.15642382559264,2.65685026452571,5.64773553224648,3.95273235648947,2.20597583698471,1.96757787373141,1.96517828571557,2.06782624829708,0.207528490637409,8.89942857180144,0.575616207832326,0.456417081249102,1.12476756580918,NA,0.513933951079943,0.441185249754103,3.27521113533165,NA,NA,0.933022764179148,0.22185122297956,1.07849528900187,NA,1256.3710945785,17.1686929355165,NA,NA,12.5458467514003,NA,NA
"013","ATOTONILCO DE TULA",1.65274414825722,0.45676127764987,5.12015881695264,1.46251834833843,2.67853535110569,1.45647953671166,1.00949658607039,1.94002999379849,10.0528291757855,2.47328589080927,5.68492331173598,0.728588085983935,1.71194628906861,NA,288.318119355379,0.428673721182631,0.173420192886719,44.2890246259305,0.97690004566209,2.89118547623301,0.566741588861588,3.43829228541829,36.5921903279999,NA,0.819062780542977,0.660869433553326,0.0050590737334299,NA,NA,NA,4.15674504949218,584.612323107732,NA,0.155827024086831,NA
"014","CALNALI",8.47803117190342,9.12387998542644,0.436649378024969,2.50394640519386,4.67689317258208,7.75007303888009,4.61524358976691,2.34588727280905,2.25934825958824,1.51381625300449,1.93925096227118,0.313692559145754,3.97794580368522,74.9313711747792,NA,34.4101832346433,NA,2.44465611965852,NA,8.46976424398749,0.492751053831637,7.73798174660405,NA,NA,10.0143370723024,0.148823601370972,0.223297172995544,NA,NA,NA,NA,NA,NA,NA,NA
"015","CARDONAL",0.994317795453166,8.5919434765012,NA,1.4518123481561,0.0952281110486302,2.09357431334875,397.733635531715,0.429890025132569,0.18401401017489,1.37435265766903,0.199897227883357,0.517364893566395,0.109702908029233,73.2938472182432,NA,0.407582669249175,NA,0.447989676614795,20.5609464306333,11.1829066930646,3.58392481070073,0.666751996386647,NA,NA,NA,NA,0.235698021691285,NA,NA,NA,NA,NA,NA,943.490230837499,NA
"016","CUAUTEPEC DE HINOJOSA",3.78489557027083,0.531957045338299,1.02307494597498,2.59812530316949,8.86556234013605,5.71127967150767,0.139005524576381,5.4095442587283,9.60492794436345,2.5624739361386,2.19120815185063,2.1400043215383,6.97411595107876,14.7280804288855,0.188318685545423,1.45886960237954,0.451861547446988,2.67528267220331,1.44747757309558,6.62599825632241,0.181803016036345,2.93712101239571,NA,NA,28.7610100407832,0.0549092272380572,45.1116239771609,NA,NA,16.9973308979875,NA,NA,12.4206256952652,0.406021000587452,NA
"017","CHAPANTONGO",2.45185882486762,3.54311161193911,NA,3.77492219896057,10.1051577302714,3.69977221402467,0.980621700961938,11.1280133210863,2.6136270822307,1.64003353379026,2.83922299156587,1.83708688259033,2.25130536033458,0.644181345391147,1.9130457011659,4.34823119459164,1.41674701413526,1.25688545878761,32.4484027519449,100.99136280085,0.320634707449361,4.20895747915255,NA,NA,4.1704714135171,67.4936061653274,9.67490060061363,NA,NA,NA,NA,NA,NA,NA,NA
"018","CHAPULHUACÁN",4.7818384781076,9.51541654363469,5.1548369866443,8.40243669057067,0.457967711824275,2.41167026397244,15.1281563407945,3.23033144077173,6.21458779827346,10.1485016065876,6.00836737214909,3.88764564035572,7.90026656345465,NA,0.647742366497305,1.96013236385581,1.07932387186858,0.538614083753596,NA,33.9151768279699,0.977079719800006,6.06232773862965,NA,NA,12.7088020899821,NA,0.0708444193151269,NA,NA,NA,NA,NA,NA,NA,NA
"019","CHILCUAUTLA",5.91179818768166,16.3835477827426,NA,6.20371645454607,1.44943759915921,10.118085421899,2.36442552717574,1.63580574861043,0.700205071229825,3.56881535141935,0.76064345620033,1.96866272196976,3.07737656056672,131.464331820398,NA,0.387730602254715,NA,0.757634687407548,NA,4.18821218816281,3.09239286239788,3.35532325868964,NA,NA,0.62847687982045,NA,0.0560544785116571,60.7134975487086,NA,NA,NA,NA,NA,NA,NA
"020","ELOXOCHITLÁN",0.490756903374696,16.1139890523614,NA,0.653825769789584,NA,0.104137819263773,NA,0.848708525545713,0.817399945988576,0.0820660808761107,1.57858495539869,NA,0.632629828382421,1367.89748336598,NA,NA,NA,0.393085193029898,NA,8.69191563584553,1.60443267110613,0.740436890262108,NA,NA,5.21718363163928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"021","EMILIANO ZAPATA",3.43431004640961,4.6053699655639,0.276374113890558,2.32955942593551,12.105416166475,3.63486811427074,0.536544286379764,7.51686399661002,3.97232885900254,8.14800251292395,19.6389613555235,0.446736310000598,7.1681996038248,NA,6.71759929844735,1.40776446136814,1.37807817212593,1.54732767946166,9.93259734898644,0.422402123828463,1.37540522079558,11.7450454732138,0.0230160065568904,NA,0.253540133008108,34.7247225547378,4.68913470530753,NA,NA,NA,4.64504699899766,NA,NA,NA,NA
"022","EPAZOYUCAN",5.3466022631164,8.70922263344847,0.0688423557722224,2.42385749078661,4.0145225170116,4.33870633681202,3.80155598407243,5.20106824145616,2.22631223883008,3.94288167130304,0.477723845045271,1.23642308031503,8.83794750175791,NA,0.321886498814334,0.243515082711837,NA,2.97396363119998,76.0301571209208,0.256876576996099,NA,4.20766546057748,NA,NA,NA,73.5818565424973,0.0352051421573575,NA,NA,NA,NA,NA,NA,NA,NA
"023","FRANCISCO I. MADERO",10.5967252634914,2.32756171280238,0.281080896571791,1.89552427341307,3.36021628740687,6.22655277170328,0.0101839762852913,11.9016483321578,7.72179069082315,5.07399681637046,27.2497517346032,0.211983991923663,7.70592360705576,NA,0.882995939514273,2.21271044984735,0.235411767535758,1.87963738085875,32.7193162986715,16.1003843639707,3.49555734457712,11.7206861045945,0.0629077670020828,NA,7.3196064767092,0.0160912818318606,0.2290358623936,NA,NA,NA,0.0959994464542358,NA,NA,NA,NA
"024","HUASCA DE OCAMPO",0.185591772079373,1.21480220517369,0.193562660550235,3.2491544537019,0.0710982100978362,0.0735573346229765,1593.08888437414,1.28383986574011,0.549546414910133,0.73002792353286,NA,0.386269532126326,0.987763544040782,249.277732665864,NA,NA,0.670248084521447,0.148654816775712,NA,6.79240401794873,2.67579222521723,0.280014389266298,NA,NA,NA,0.183255933859146,0.0109983985304597,NA,NA,NA,NA,NA,NA,NA,NA
"025","HUAUTLA",22.0862572448982,7.84515971879844,10.2377017305153,7.49841841839606,0.102173739946995,4.12115381610225,0.166673059314749,2.33505183182794,3.99806672795793,10.7151934062299,5.79946029608663,12.2621547433313,3.87725469428924,NA,0.14451293922778,13.2286403372362,NA,2.61695164315759,2.95278636679448,1.18094163751351,22.6795677599636,29.7617096024733,NA,NA,11.3414619088073,1.05341296801158,0.0632222673250564,NA,NA,NA,NA,NA,NA,NA,NA
"026","HUAZALINGO",6.12273242317494,71.1255492321456,NA,3.51301115973517,2.34555288372133,11.1791858596167,NA,0.661785801107753,NA,9.21478201714627,NA,NA,3.21569848713116,10.0539791734435,NA,2.50978071150659,NA,1.22604258844045,NA,27.1103031445592,5.00426579261096,2.30944125500221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"027","HUEHUETLA",24.4988778014922,13.4819361324112,1.81696482755189,1.19904363432044,17.358970181595,8.5766739886735,0.272175939170186,10.5920091563918,0.987382512525786,6.23166941925995,1.40095829408354,0.226618524924101,6.89164002719356,11.4429064749114,NA,0.71412486187969,NA,2.18033863007068,NA,1.92846942761417,1.42389755470402,22.3603647352087,NA,NA,4.63013197706294,NA,0.232293419985974,NA,NA,NA,NA,NA,NA,NA,NA
"028","HUEJUTLA DE REYES",5.25249618317889,1.83762361035335,0.721694229742277,8.16763002802791,0.755369082179191,4.78486363134961,3.47264767936495,2.81159549363856,4.43052195555347,7.08276127554864,2.09793552715742,13.189507236726,5.19784984746976,0.0587603041235515,0.680226382826421,3.41992158663306,0.807696524553317,1.12652313249734,NA,2.22814250202137,19.421793467163,2.272086142202,10.1845191413628,NA,6.20430217615324,175.043563049055,0.26019583911065,0.0849435321632594,NA,23.4239884999428,NA,NA,1.18233925229961,0.0386497893125875,NA
"029","HUICHAPAN",2.81723325980817,2.0262216346173,7.67640128326023,9.47729210614031,1.16224154551175,1.92407468659074,5.13327217182876,1.9756534603499,3.20958034067076,2.02012108691251,2.71311751839253,5.16641124482492,3.17398109177514,NA,153.512943157905,4.23539236420002,1.10923618396942,2.04867982878995,31.3864804587378,10.2182603624421,0.73774906095055,1.2076180697137,5.701390666772,NA,0.703861989409904,1.04601308479859,9.72475913755794,NA,NA,7.66382892016686,NA,NA,5.60026459337866,NA,NA
"030","IXMIQUILPAN",6.7686557612405,1.75603848392824,1.03132882945224,3.7451482351953,14.279243027237,3.53754700742537,4.75934285584002,5.6993961328925,10.8984084313396,9.0248075758497,6.19300492395854,9.38706476955777,5.41684752560459,NA,0.519313613591667,2.71730447338667,1.77711085918101,1.62899067147018,NA,0.0668319852765564,2.82087632822885,8.24023127751037,4.21159323305804,NA,6.41231263358328,0.0938802382877992,0.426465687825849,NA,NA,145.530497206287,0.0136738975838198,NA,138.086965694949,0.0433867746396067,NA
"031","JACALA DE LEDEZMA",4.97840063984846,9.88898447218567,2.05145493502439,29.4491945249452,2.49099976566137,1.49717764259889,3.2914315072297,5.80927051743765,4.81348260693714,5.20315948097256,16.9418291841663,1.90312804072414,2.9045238349763,NA,NA,1.49929385701883,0.366919359498563,1.30206904380284,19.2170761066137,11.8160031160659,5.58362903220097,3.10413372352255,1.648217198793,NA,1.68765431983807,NA,NA,NA,NA,124.219129097409,NA,NA,NA,NA,NA
"032","JALTOCÁN",0.62134385134516,1.86246034952548,2.00733660844673,1.2170015067746,1.97431720193246,2.08153667824437,NA,0.68770807908295,0.225379159098316,1.580368975986,0.319781643129024,0.051727767036142,1.23664552681756,NA,0.0538665771865238,94.6752719348073,12.9250237981851,0.179165659786329,NA,0.440190921379258,0.83204541643447,35.1120737503836,NA,NA,12.9466611660274,181.504846674034,168.664405151604,6.38113095168818,NA,NA,22.876492479679,NA,NA,NA,NA
"033","JUÁREZ HIDALGO",1.35126585515989,49.9621241118613,NA,0.175807121202598,NA,3.99646855495585,NA,0.584215343516727,2.25065532329473,0.508417624759367,17.386106522648,NA,2.13223477340782,NA,2.92865481524053,19.9403970025215,NA,1.08233342385545,NA,157.151176211633,4.41769656312587,14.4977263518265,NA,NA,3.59129033797342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"034","LOLOTLA",NA,2.44991096406691,NA,0.480820054055043,NA,0.199251743758873,0.137386881350655,0.0950498324916607,0.010171497255518,0.0206794509102971,NA,1.0295168353778,0.0521765033685801,NA,NA,NA,NA,0.0440229838959377,398.77858181233,0.0950623041730001,NA,0.036855161707048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3139.23063826464
"035","METEPEC",3.41777254986091,3.433810754319,0.0633699690449838,3.58653850018902,3.35183839628689,2.52707867799527,0.341734799058688,5.91065083648627,3.64326967222651,1.46312152351721,3.95773945265048,NA,3.44052140590146,76.0031331106316,2.6666931300285,0.224157687231011,1.97487677752831,19.0796884349146,59.4386618115797,2.42132024728489,4.57676048193097,3.30023421181796,NA,NA,9.82470570800374,0.539961092736416,5.14487661776733,NA,NA,NA,NA,NA,NA,NA,NA
"036","SAN AGUSTÍN METZQUITITLÁN",0.498322482334257,10.7459142486861,7.24380718093179,6.61376696477266,0.763607915340638,3.63944674567467,NA,5.3862021135095,1.86750247734429,10.7349365231438,NA,0.25928788483274,5.23464546509974,0.818282347287241,NA,13.7350006109988,NA,0.898076364444674,NA,0.215476353920611,0.407291708942782,4.69907232366474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978.589767450798,NA
"037","METZTITLÁN",0.580474532004787,1.19853857485078,0.119586181376269,0.510535005862274,0.970317353764289,2.53139861909682,0.161222895792348,0.523620947063852,0.584874138432177,0.816350084981376,0.207463739948029,1.87096615571295,0.540986045440809,0.482004175202156,0.0621277358135363,0.99454467002261,0.103522560568799,0.367365520413119,NA,0.833441236199506,0.0937158874272143,0.389244318904505,NA,NA,0.304738866712761,NA,0.143782003562468,NA,6029.8528713013,35.0471622248658,NA,NA,NA,NA,NA
"038","MINERAL DEL CHICO",NA,15.3470455840259,0.0912016960738,1.72125784701997,NA,0.482639057547329,337.606817592555,0.340262991641933,0.0364123112572969,6.44875557714323,NA,1.63800149958004,0.140652089725994,86.8966363476055,NA,0.322606458099048,NA,10.5966975976833,NA,0.340307638239324,0.64324682046478,0.131935504262857,412.33230941967,NA,0.522916424489037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"039","MINERAL DEL MONTE",2.5394297298927,1.07197513811221,0.46833600405756,2.18091173041922,113.470680555303,5.27313279549239,39.918181826159,11.0274750337681,3.406522498397,20.9912916640874,4.27077551633381,0.500381463217266,4.68567088032092,NA,0.0325669343752385,1.57681214908122,0.21706327405971,0.58974713877733,6.2579965174596,1.74753679267437,0.196500909990951,9.00805407045102,0.014501150486438,NA,1.95683987453145,29.2492519078601,0.30147817318905,NA,NA,NA,0.0345769709267758,NA,NA,NA,NA
"040","LA MISIÓN",20.5448632807094,56.6971294982226,NA,9.04970789310856,12.8950533644702,8.22237423809962,32.8676978821527,1.42120063946986,0.15208589036889,2.19877355976684,NA,1.71038934283034,2.13141619041187,NA,1.78110954393615,5.38981335977849,NA,0.658238854547872,NA,1.42138711808881,2.68669474799514,6.75053896105087,NA,NA,2.18410222424414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"041","MIXQUIAHUALA DE JUÁREZ",8.8475060991019,1.57048634297831,13.5845104728073,5.41332365220296,11.9067273710111,2.48906899896761,0.221160176316454,6.63618964944047,6.47483847914385,4.99348792787743,9.29279411575778,6.19453331277101,8.79442411853256,NA,0.391338138281575,0.855604621653755,4.54474486234673,5.27617188438943,8.10305606738816,3.56785601439133,4.76120137410237,6.12072834512539,4.82113445301123,0.0235442984298729,4.37671624387194,0.45641938715929,7.32269598276303,NA,NA,NA,0.00415491592607156,NA,NA,NA,NA
"042","MOLANGO DE ESCAMILLA",2.47398095835117,24.848994815458,0.374455834244784,9.38597800169093,1.93419484530825,7.84895579471195,3.15519596665036,4.91150902917605,3.3731305681483,3.7589146060123,4.06014761298742,0.42033155935165,4.13597511718015,NA,0.109427797114883,1.3245572790936,NA,1.45587148789231,NA,0.89423025097191,0.660260541063663,7.8221575872339,NA,NA,4.83072692070618,NA,0.011968259518763,NA,NA,310.815687333116,NA,NA,NA,NA,NA
"043","NICOLÁS FLORES",16.1514343755906,27.5273740461624,0.207964373783063,4.94060246608947,0.68749340540451,0.28603214023675,10.0933925172198,3.10356421095965,0.0830298539896683,2.26950556410275,NA,NA,1.22253511071022,30.1759704249466,NA,NA,NA,0.35935927948919,186.850566306949,0.775992858978916,1.46677559699829,7.52121005007824,NA,NA,1.19238996028914,1.77201712752037,0.106350447490827,NA,NA,NA,NA,NA,NA,NA,NA
"044","NOPALA DE VILLAGRÁN",1.71025102368147,5.57154252897642,NA,18.8335059434778,11.1933650807945,6.81469017461543,4.27509643628485,9.94110992244241,1.26603446388046,4.96517605221532,NA,3.55952128337608,3.67322606369477,NA,27.6931551178766,20.9505555030169,NA,0.152208048232459,NA,123.700067829255,0.62125862209946,1.56096279136314,NA,NA,0.505041497315918,13.2396117378472,0.180180615502534,NA,NA,NA,NA,NA,NA,NA,NA
"045","OMITLÁN DE JUÁREZ",1.12704209819596,38.9552798818156,NA,2.46492387643978,44.9200706789998,2.81912374727306,0.704313809906235,4.3854564639296,0.834306846657371,2.72147662287838,0.906320261660553,NA,2.58285995642338,NA,0.610671330008157,4.15789143024024,4.07021172882495,0.902735259913253,NA,131.074126305489,0.921160329902165,7.98262950606804,NA,NA,0.74884142566851,1.11285726672807,NA,NA,NA,NA,NA,NA,NA,NA,NA
"046","SAN FELIPE ORIZATLÁN",3.68254549234767,4.66231617149722,0.980496954747193,7.03395097470185,5.88307410355396,4.58034977191051,0.980190196409124,1.94496443436014,3.33016059261925,4.99266843495098,0.29531463513857,4.52562292054991,4.49194845054274,1.81175846167268,4.4580505782337,35.7005871001794,NA,3.26829445745761,NA,0.311235141934261,0.300150110547862,18.2835749957735,8.9785823237529,NA,104.215906855926,0.362612479922903,2.63329505550674,NA,NA,NA,NA,NA,NA,NA,NA
"047","PACULA",4.6855474295777,48.1840897770009,800.650800269026,0.152403874061263,NA,0.24856639204556,NA,0.506445251073623,0.216783400720562,0.783533581821036,NA,NA,0.615219918954957,NA,NA,7.68264607944791,NA,3.75301764099699,NA,20.7467193459668,3.82961774268311,4.90929892636122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"048","PACHUCA DE SOTO",4.14805821045794,5.00920315139002,5.33185188537204,5.9595627836454,7.26929412212304,6.3679123517725,3.36017019269018,3.35849818962363,3.695062841424,6.09868607936021,8.14285730172636,14.2505379149844,4.06376957073446,NA,0.0883175380847854,0.902051802533529,4.40280955085546,1.74883292638732,0.00887394041656004,0.673921315623987,22.2953816559317,1.22988834324025,32.7120814218896,1.9397628646605,1.14239992820716,0.101821174843224,1.718217138139,2.57053295129635,NA,8.68481383729081,0.104318237587903,0.00406569137069583,95.4972165057133,0.371985974064987,1.00824558989306
"049","PISAFLORES",2.28203833724619,10.914233686081,0.380807754211082,2.06931425521226,0.139875891552741,1.41046531269269,3.65080777609867,0.986631761634259,0.827760474920922,3.20934354192532,1.17447684979605,3.03972744807393,2.53927975182727,NA,0.197838272592147,3.74173843041738,NA,1.16983113929305,NA,778.047801693486,0.298426927044082,2.9992876556461,NA,NA,6.06502576835071,NA,0.021637827421864,NA,NA,NA,NA,NA,NA,NA,NA
"050","PROGRESO DE OBREGÓN",2.8723742270903,0.414684660973336,10.5844750198347,1.76095793093095,1.31380008240838,2.3360698540045,0.106782325169738,2.76699457836923,3.03704437134525,2.366210454896,7.28245177160541,2.90895571076484,3.47327575720252,0.101010962562912,97.1920451644008,0.549135938882849,1.57975644596692,2.46051087258056,89.8927264317043,9.13633508280561,0.289596547640822,4.73733793880842,0.0016490213261348,NA,1.0217991574559,0.0269955772218258,0.0684527244087044,NA,NA,33.4262769229811,NA,NA,NA,222.683847845351,NA
"051","MINERAL DE LA REFORMA",3.11531853171455,1.3973340349002,0.90158748406733,1.1885745528983,2.95124442897365,4.26980385942857,0.876503072548322,4.83052972773495,4.50919296045032,4.86843235735198,7.79764795094861,11.6766726109844,5.62531560968904,NA,7.84227187654942,8.28181227203993,1.01606312590393,1.26192287866186,NA,1.24441376217567,8.20709398013053,1.99009351169925,7.53291789853019,10.0505833569871,3.34919594249994,44.0684330602493,2.11665344733055,21.9883913516795,NA,NA,5.91073302262284,NA,29.8885807484337,26.4190382330931,NA
"052","SAN AGUSTÍN TLAXIACA",4.096534196233,1.28339263428829,0.463615193535229,1.57246180182304,1.06432622195882,10.612890741015,0.0354327449868398,3.5299892372235,4.19724579052633,3.96517750972886,1.13988304134273,3.56973392915141,9.25928834669614,NA,2.60028996761024,0.371868346583325,0.204764938868796,3.28123134734665,0.627727880950869,6.43424952501119,0.185367593832993,13.4379661952165,1.20872474581278,NA,2.41106228712011,0.0559858222061227,85.8031075239765,NA,NA,NA,38.5987354320322,NA,NA,NA,NA
"053","SAN BARTOLO TUTOTEPEC",5.19751898648343,24.3428342034227,0.602304959734621,28.8643231129358,0.497778393875202,2.90241051426647,3.24804584078071,1.88821358872041,0.427503076218114,4.08016348407615,0.464403116732195,0.676095175392538,1.84130551635682,100.605268736526,0.0782277747038274,0.0591812427595898,NA,0.260193455765627,NA,4.19769060633232,49.1076335887179,3.48526012140407,NA,NA,0.383710159344188,0.142558432435265,0.0342234910659054,NA,NA,2.6251891174731,NA,NA,NA,NA,NA
