"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Manufactura metal y herreria","Minería No Metálicos","Servicios de publicidad","Tortillerías y panificadoras","Comunicaciones y transportes paqueteria","Construccion","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de material de construcción","Fabricación de muebles","Fabricas diversas","Fertilizantes y agricultura","Industria del papel","Maquiladoras y textileras","Organismos operadores de agua","Fabricación de equipo electrónico y eléctrico","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Minería Metálicos"
"011","ATLAPEXCO",16.2236393710484,3.48637116022255,0.541816895096365,7.57754063055229,0.0378191638751217,3.59705884759354,0.0583218861512471,2.16203128460614,1.35126954580303,5.17279478701879,0.0686233225315988,3.1908198439044,1.24060079490832,78.7277906531643,2.46796032040104,1.02244043951711,123.508515574851,0.195549376664418,1.83492145391287,2.80197927329037,8.55594856577355,NA,NA,0.713118841902598,NA,NA,1.09999854891742,NA,NA,NA,147.566263543004,NA,NA,NA,NA,NA
"012","ATOTONILCO EL GRANDE",1.48409399550084,2.97339919320795,0.230751585499584,0.866694918480578,0.113192357330392,0.900400853920442,74.4626722611595,4.54322313154063,3.1487040727186,1.79718380074525,1.3234821800565,1.90520794439798,1.81415750282085,0.291595872019979,0.526952748797193,1.01854218777224,NA,0.280517481906186,2.82574935006171,3.17587477148574,NA,NA,0.536114051892292,0.877036961135513,0.203994843813316,2833.00957028121,1.09580459189367,2.48333144322546,NA,NA,16.3337376276197,NA,NA,9.79437347927247,NA,NA
"013","ATOTONILCO DE TULA",1.17376317169531,0.427682164198721,1.83858187848519,0.932181570799423,0.466870813486975,0.903315074018678,1.30704063967719,1.26893533074082,7.29498230505786,1.63835267378004,3.10922469621433,0.422489739770006,1.15137081807489,NA,0.319085339799542,46.6896500137039,0.301635123594336,0.217261987006064,2.37325994745228,0.383267955133207,0.225570890008421,NA,547.991788590659,0.546353451037225,0.494099436460692,NA,0.338541739638027,0.00350259853956775,5.10722909058881,NA,NA,2.35290123008467,3501.33552965867,NA,0.088537550597868,NA
"014","CALNALI",9.14632425775133,7.90690832903445,0.795058467219821,2.42438145132162,4.49514252041933,7.4531991740503,5.47719317913494,2.33085318147606,2.22298063937803,1.62315330807415,1.61115842997995,1.09624579024607,4.21790437104842,36.3548658507422,38.9084302656925,2.48012449155788,NA,0.286947839913615,8.24593865787283,16.4464221501084,NA,NA,NA,11.6269532407216,0.169023557121161,NA,NA,0.234843915303586,6.77503344987866,NA,NA,NA,NA,NA,NA,NA
"015","CARDONAL",1.53218176173944,8.25135611001921,NA,1.16335067908564,0.130732834277681,4.25883552352282,85.553691871453,0.610096648067966,0.25860497922828,1.97533830940581,0.237216282245966,0.286940373337545,0.157460571430776,155.58097611421,0.658272822394241,0.649168146289043,13.3340291261236,2.98103983277141,1.01486953287089,NA,NA,NA,NA,NA,NA,NA,NA,0.354067052915627,NA,NA,NA,NA,NA,NA,1163.14098644901,NA
"016","CUAUTEPEC DE HINOJOSA",4.16240933017517,0.468048208928729,1.28357486781753,2.41571314189147,7.32412811765964,5.36275496151371,0.121288868258725,5.16152224711433,9.07519484808921,2.47615947144911,1.74822454351393,2.49273138318313,6.97572837620674,3.22021910896391,1.58409982349862,2.44092169826224,0.501369656001639,0.101668362211478,2.92161487779322,1.45678113898982,NA,NA,0.629546909771113,30.9278634503896,0.059886661746051,NA,1.28677916966492,45.1724891288302,60.7639652756986,NA,19.1803479356404,NA,NA,11.5013168098398,0.336526526874659,NA
"017","CHAPANTONGO",2.96462739154265,3.24129670708932,NA,4.09644379450456,10.8855952935925,3.9878148814635,0.99862884962267,12.3922021085565,2.88216735320047,1.84963318321754,2.64378909631661,0.355329660969819,2.6965320828865,NA,5.51051797676172,1.42913902069011,20.784958028101,0.837083906015968,5.02701300411845,NA,NA,NA,7.46403647797197,5.42690152286255,85.9134446160018,NA,4.70873954008995,10.3135646630268,129.779239304704,NA,NA,NA,NA,NA,NA,NA
"018","CHAPULHUACÁN",5.5240122878015,8.31661957965951,5.28419238143199,8.7114273917077,0.471334277043716,2.48349339271456,11.6297035590496,3.43686926629699,6.54746187135333,10.5547080426779,5.34526031243213,6.46570705481884,9.18276156709075,NA,2.37328706713189,0.585115439058436,NA,0.609275263070422,6.91767188137091,34.9206259405581,NA,NA,2.41454769667278,12.0968582594125,NA,NA,3.42727712407324,0.0797829115257493,NA,NA,NA,NA,NA,NA,NA,NA
"019","CHILCUAUTLA",5.3096727053527,11.895731872219,NA,5.00062663739216,24.5413115306328,8.10087330098007,1.78855270674004,1.3531192607106,0.573554008889537,2.98971956388686,0.526116511994704,0.636398424852958,2.73794880239513,189.94427720597,0.364992021184137,0.639900015087916,NA,1.49922434790371,2.97675665063685,NA,NA,NA,NA,0.607476654839968,NA,NA,NA,0.049079821041506,NA,39.4011687764375,NA,NA,NA,NA,NA,NA
"020","ELOXOCHITLÁN",0.292581585989066,7.26846886967675,NA,0.349837970413858,NA,0.0553444910448571,NA,0.466010102341094,0.444443023478125,0.0456354660106369,0.724771619817859,NA,0.373617118937938,2528.72657003079,NA,0.220379592677282,NA,0.516328243995259,0.436043115808309,NA,NA,NA,NA,3.3474093976684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
