"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Fabricación de material de construcción","Industria alimentaria y de bebidas","Industria del papel","Manufactura metal y herreria","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Comunicaciones y transportes paqueteria","Construccion","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de muebles","Fabricas diversas","Maquiladoras y textileras","Fabricación de equipo electrónico y eléctrico","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Minería Metálicos"
"011","ATLAPEXCO",7.15681847663641,4.20673190630916,1.44436230379996,7.46141589761587,0.0345538639073395,3.58567324704413,0.0641820218576348,2.39152009023168,1.31278602998747,4.94685937977322,0.0799033807004981,6.65330550606111,1.1965824655093,44.8667644683624,NA,2.18067970587281,0.361891043627381,0.975340186779859,248.296327139318,0.429584005497664,0.318887264892583,1.68263728824356,1.31264164414423,7.92865877530972,NA,0.614039455409147,NA,NA,NA,NA,120.506123910114,NA,NA,NA,NA,NA
"012","ATOTONILCO EL GRANDE",1.61209817319692,2.1111500750817,0.234226383056997,1.03701418091451,0.125668742862977,1.09064782305506,2.61358034578404,5.31955312442611,3.71714304418227,2.08844134116463,1.87256534585912,2.10005518738811,2.00701592785819,0.201931248348692,12.2499857019479,0.565784250427978,0.438070803497211,1.07088785925559,NA,0.477581797817388,0.412177734789407,3.14870618649373,1.80788207954089,NA,NA,0.917651403807339,0.216602695753363,1.05395276943549,NA,1324.89123230625,16.2081363859318,NA,NA,11.8894777960191,NA,NA
"013","ATOTONILCO DE TULA",1.39396280206811,0.382947038620289,5.1086308208084,1.21943761092631,2.05710972823596,1.22110736692922,0.882786309077578,1.62439334327899,8.4039241902563,2.08150667783374,4.80962947543929,0.429102952208175,1.50356087316879,NA,352.799007446808,0.374564538760572,0.147966718665364,37.4851527200867,0.779825970123557,2.38835219077063,0.470685246233038,2.93844513636016,0.238533767782959,5.53367538190715,NA,0.716118086947381,0.573587467433277,0.00439496948547428,NA,NA,NA,3.70870245051044,1333.09757098964,NA,0.11712430837,NA
"014","CALNALI",8.01689279699823,8.57619230816127,0.179771031365878,2.34071642130555,4.02701304167232,7.28485262199552,4.52491966215516,2.20219314455393,2.11759309798283,1.42837474469602,1.83944385334719,0.975047261400186,3.9258342911597,72.6669531603939,NA,33.709498675311,NA,2.31977816547654,NA,7.84439127444798,0.458816021123702,7.41426330290867,7.55453205734509,NA,NA,9.81646601098251,0.144817587588827,0.217487144074393,NA,NA,NA,NA,NA,NA,NA,NA
"015","CARDONAL",1.00992179117624,8.67476706658038,NA,1.45775897106271,0.0880728843611545,2.11375583604111,418.85145549784,0.433468057189635,0.18525148055162,1.39289586623071,0.203662352418002,0.19192314857234,0.116290089880834,76.3470487343986,NA,0.428876728641698,NA,0.456612871122045,19.7654925018959,11.124848135346,3.58444042167777,0.686208499086036,NA,NA,NA,NA,NA,0.246579953726326,NA,NA,NA,NA,NA,NA,854.001521989355,NA
"016","CUAUTEPEC DE HINOJOSA",3.68906516771072,0.515398168254999,1.02215806509412,2.50342868517979,7.86834207797954,5.53349804301109,0.140475201865446,5.23432041741768,9.27907753574716,2.49218234149735,2.1423356464527,2.37977129986397,7.15827369591968,14.7221343652286,0.266296649070793,1.47310309668697,0.445539930243774,2.61667457445727,1.33529209235384,6.32543798129712,0.174487152365927,2.90077138839092,0.718244745963143,NA,NA,29.0595212023598,0.0550739453452191,45.2887345474505,NA,NA,16.484485834527,NA,NA,12.0921939229556,0.352670902292809,NA
"017","CHAPANTONGO",2.44245248992117,3.50848300614155,NA,3.71750340838671,9.16617785749818,3.66361271994373,1.01283183182393,11.0048848142621,2.58061105007897,1.6302016348681,2.83708025204432,0.29706105241789,2.3405994829235,0.658113822497647,2.76481368810714,4.48742840878315,1.42771588534099,1.2564464340331,30.5932767769177,98.5352801882357,0.314514839298469,4.24848842743458,NA,NA,NA,4.3066314517775,69.1881516949682,9.9269646299284,NA,NA,NA,NA,NA,NA,NA,NA
"018","CHAPULHUACÁN",4.43116722941852,8.76506058427733,4.0382402426178,7.69734926057939,0.386431585486415,2.221493639086,14.5349793813726,2.97171750513308,5.70799826841861,9.38389402913551,5.58497418925042,5.26305337422514,7.64059215430809,NA,0.870834052722366,1.88175413385616,1.01179805923642,0.500862544190221,NA,30.7818120868223,0.89156535210012,5.69235381442574,14.6798688876703,NA,NA,12.2081469835696,NA,0.0676189124203775,NA,NA,NA,NA,NA,NA,NA,NA
"019","CHILCUAUTLA",5.89135747720041,16.2295922032114,NA,6.11167738782222,1.31525456416913,10.0230067964851,2.44301758588355,1.61832113475,0.691622787995331,3.54876945163798,0.760358425042527,0.716530970231338,3.20065196741123,134.358738709093,NA,0.40029493676143,NA,0.757658042928978,NA,4.08790986038502,3.0345226494069,3.38812465246756,NA,NA,NA,0.649242552047418,NA,0.057536758462114,58.2445569401093,NA,NA,NA,NA,NA,NA,NA
"020","ELOXOCHITLÁN",0.47979752461815,15.6602441839774,NA,0.631926146747977,NA,0.101205466719537,NA,0.823734679884066,0.792089865961744,0.0800595622909557,1.5481070855478,NA,0.645510462319352,1371.5364067692,NA,NA,NA,0.385652261502537,NA,8.32307765852508,1.54458932132546,0.733514782775799,NA,NA,NA,5.28749054109596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
