"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Industria del papel","Manufactura metal y herreria","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Comunicaciones y transportes paqueteria","Construccion","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de material de construcción","Fabricación de muebles","Fabricas diversas","Maquiladoras y textileras","Fabricación de equipo electrónico y eléctrico","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Minería Metálicos"
"013","ATOTONILCO DE TULA",1.47077656569361,0.395201191565636,5.61117718449743,1.27572814653617,1.26302155740574,1.26717670161449,0.922359460518889,1.69720066948381,8.77177205512667,2.20849998352765,4.89455307170619,0.555504254357557,1.59387958320321,NA,0.432794687249012,0.175554013134498,65.259571247136,0.834698646843004,2.39087554434901,0.552361740944242,3.14909905392291,0.21755839490738,3.80470184160578,NA,513.790582395975,0.797570647565682,0.650230800436425,0.00466477904466409,NA,NA,NA,4.97637617099951,759.008790235614,NA,0.117983478264377,NA
"014","CALNALI",8.18297651956018,8.95812434749968,0.195336720075391,2.36895638922133,4.23667730501253,7.31330709129135,4.57367396280554,2.22590749444449,2.13824485757605,1.46612657777204,1.81091334697035,1.02914756251905,4.04055659062322,63.4750439337571,37.6805530010237,NA,2.47511605406342,NA,8.04483608357055,0.520884327840724,7.68681541079047,6.66566154779249,NA,NA,NA,10.576680831402,0.158817700816599,0.223315318975933,NA,NA,NA,NA,NA,NA,NA,NA
"015","CARDONAL",1.36141839840102,11.3755271117518,NA,1.12897253518374,0.122372325537335,2.80250569145915,92.6715461660768,0.578638662386433,0.247044536982083,1.88819392885575,0.264801556068582,0.267533386028199,0.158070409817496,88.075872923037,0.633134674850462,NA,0.643421995904581,27.0301223236236,15.0678291200114,5.37431015319656,0.939578744229428,NA,NA,NA,NA,NA,NA,0.334380802455818,NA,NA,NA,NA,NA,NA,1099.10999267445,NA
"016","CUAUTEPEC DE HINOJOSA",4.00343811915972,0.5441280566531,1.11240735215475,2.53761128961141,8.2910052990731,5.5638371566868,0.142211790409483,5.29899633875127,9.38428820032022,2.56206844787906,2.11241993545441,2.51575772711224,7.20574930660033,12.8800766006617,1.64922430441957,0.51218242638931,2.79627857363027,1.38484004748916,6.49725876124591,0.19840279278666,3.01212894844448,0.634731069916675,NA,NA,0.300399129474217,31.3591509723521,0.0604930379007385,41.1690047193777,NA,NA,16.7865068449632,NA,NA,12.0155688033154,0.344219212607816,NA
"017","CHAPANTONGO",2.50290564709481,3.55012911563822,NA,3.77722420349565,9.68152463440464,3.69245935054486,1.02779096668146,11.1673552345963,2.61607747063959,1.67990124873403,2.80411537726724,0.314782675932844,2.41851875182804,NA,5.03588300401139,1.64517214351033,1.34587960948161,31.8039343131758,101.452518410035,0.358473438811488,4.42207405586361,NA,NA,NA,3.12629786551694,4.658488891995,76.1767516685078,10.2332721597864,NA,NA,NA,NA,NA,NA,NA,NA
"018","CHAPULHUACÁN",4.41090236396285,8.61530474574575,4.27917856118663,7.59719951963572,0.396477953162838,2.1749145048905,14.3275794399585,2.9292963027548,5.62086082001707,9.39326282567105,5.36211815474848,5.41743654199524,7.66902799833943,NA,2.05131298158212,1.13254208310078,0.521160799298459,NA,30.7862087515472,0.987097324080874,5.7553853757771,12.6317040566954,NA,NA,0.956512912570769,12.8276782090037,NA,0.0677106810876645,NA,NA,NA,NA,NA,NA,NA,NA
"019","CHILCUAUTLA",6.26026333594346,17.0290825734959,NA,6.43933000754906,1.44053616325144,10.4752178202844,2.57070901302182,1.70289711126063,0.72703650088725,3.79209393986351,0.779294288817094,0.787333892198418,3.42941212837512,122.181084238027,0.465818860251755,NA,0.841577945977648,NA,4.36446746187202,3.586452615193,3.65687255123732,NA,NA,NA,NA,0.728237779491081,NA,0.0615038515805604,43.8457085442975,NA,NA,NA,NA,NA,NA,NA
"020","ELOXOCHITLÁN",0.53064965289863,17.1023121371384,NA,0.692977671978841,NA,0.110088426593116,NA,0.90216029314639,0.866630626988833,0.0890404134470076,1.65141712766446,NA,0.719875126512179,1298.12959725644,NA,NA,0.445850898112498,NA,9.24882476761146,1.9000297324381,0.824009029064244,NA,NA,NA,NA,6.17288928879176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"021","EMILIANO ZAPATA",3.39483624836683,4.46842169772171,0.126622662984378,2.25719388381242,11.2308000477035,3.51285081911986,0.544551781977786,7.30465484355933,3.85019288565513,8.08188174791275,18.7821456478915,0.296498624801428,6.1420948024575,NA,1.57878617389389,1.54961284532856,1.60443866283787,9.42715541461742,0.410898925239432,1.48904366043419,11.9491355637593,1.08021652995952,0.028161518788421,NA,5.50005989010428,0.274243878343213,37.9514971995333,11.7254923160634,NA,NA,NA,6.17715050883104,NA,NA,NA,NA
"022","EPAZOYUCAN",4.31625364102514,6.90110713563296,NA,1.91801457409299,3.04168767723994,3.4243729257273,20.6905720057049,3.26137143933836,1.76227270607441,2.43427203928267,0.373124148191502,NA,7.50838499575454,NA,0.22303290032678,NA,2.51840879254285,58.9323112650435,0.20407188074646,NA,3.49601057881207,5.49362406834951,NA,NA,0.415994733141377,NA,193.008765060341,0.0294478896622317,NA,NA,NA,NA,NA,NA,NA,NA
