"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Educacion y otros sdervicios educacion"," Hospedaje"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Servicios de publicidad","Tortillerías y panificadoras","Construccion","Fabricación de muebles","Fabricas diversas","Industria del papel","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de material de construcción","Fertilizantes y agricultura","Industria Química","Petroquimica","Turismo","Fabricación de maquinaria","Generación, transmision, distribucion energía eléctrica","Fabricación de equipo electrónico y eléctrico","Minería Metálicos"
"011","ATLAPEXCO",5.29213226687593,7.27850778993421,0.516476154910893,8.87987730565153,0.0384750579120654,10.2570563952465,0.799229954760035,2.20962480018059,2.18204008854185,5.36626907363615,0.0593208292580759,2.58977861656567,2.02672743433014,58.0393014586808,2.6525792906257,2.9354256441413,0.0186780674117676,6.32697145428518,29.7518717334039,0.0947932744147288,3.38859004630604,12.8745304406462,0.97321724012317,0.0872724898542438,0.243047902449809,NA,0.123127826894404,NA,NA,NA,NA,NA,75.0067918608158,NA,NA
"012","ATOTONILCO EL GRANDE",1.44599694895833,0.840332401405048,0.217244628862112,1.55052495093147,0.207659083319503,1.01868801348099,1.75308825939774,5.01448609617339,2.37281141249229,1.17851046514368,0.980516623958527,3.64469388849613,1.6454825292591,18.0871351726899,1.05716892233003,0.925286525953564,0.418503239115496,NA,0.547691523355317,0.0719468378681739,2.47880239314863,0.271433272959582,1.00539693919347,0.117757621597106,0.512417038835333,NA,2.09374882054884,3756.17051236476,NA,NA,NA,NA,0.35858629423805,NA,NA
"013","ATOTONILCO DE TULA",1.97798230628391,1.08328425260331,8.52418842024421,1.38145035110482,1.20693612651246,2.14407917889913,0.124336909578024,2.31261362376285,15.5292879178084,2.32999019364739,2.24587058055503,0.723896271371477,1.78338663064121,NA,0.394917205165745,40.7095899164327,0.200178043051869,21.435704079084,9.96389195692217,0.180651648892257,2.52454641738448,28.349300432838,0.463675562016732,1.00415923082904,0.800084499677985,3.56765134655657,466.756459293948,NA,1.27753034381929,2.28183580759111,NA,NA,0.165375181712514,48.601475427647,NA
"014","CALNALI",16.8767309487095,10.5583635251027,4.71700752777591,5.06174542376618,0.290409089865646,11.5745218456058,4.61868966269616,6.00415589516135,1.22504146218543,1.45565494728811,2.79845388314394,0.975610456650201,4.68157851807251,25.8082566118368,2.89774211141853,8.65489975788012,0.220283966575574,NA,6.34064264567682,18.6101040360814,3.62969072571723,NA,13.8882048455071,0.164682821315078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"015","CARDONAL",2.25015271023683,3.67424603451347,NA,0.0970251374066746,0.261746310096547,2.77323472862471,1215.22144198104,0.258951508704635,0.069008274368809,1.16853771049817,0.100890089663124,0.199392224831619,0.123598197698461,3.72176556390756,0.213203340895334,0.13867873699155,0.127067131021305,41.0172267442909,51.4335083389805,1.45097967565499,0.432588127963901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.852036148716,NA,NA,NA
"016","CUAUTEPEC DE HINOJOSA",2.57263093319996,1.01718228282801,0.304597318539545,2.55936053442141,3.85033296124516,4.37464379006488,0.176451873634207,6.28274898751208,10.0048485242446,3.86877632487615,5.1043587656443,1.50010640232972,6.25128995261069,5.75580945081141,1.55010035225055,1.59722250187501,41.7172136971104,2.78974221385036,16.753272123399,0.217775319270186,2.77700986788512,0.0395892557123961,30.1143196585434,0.200497286952659,0.804054530538025,NA,0.916499766575564,NA,0.0554970598538081,NA,105.308312074663,0.246955704819332,NA,NA,NA
"017","CHAPANTONGO",9.23355802808655,12.0105946919014,NA,5.77806922431411,2.98356261668474,8.82024093753275,2.17886424156136,6.0238889142064,2.64386104497558,2.13822880537434,4.60005567683972,2.2728083075776,3.82454992883514,0.662862771138693,1.36700820555904,1.58075464469557,13.035578901045,17.8005385900673,16.2853927645226,NA,5.69831054717158,NA,4.71678070989015,11.4372060609704,NA,NA,2.38699823555413,NA,NA,NA,NA,NA,NA,NA,NA
"018","CHAPULHUACÁN",3.79817765700158,9.70269880452312,10.9875787636073,9.01840385108299,0.69034133097979,2.24294435119187,8.42887296787214,2.47789640922846,1.76163333113038,8.04732975748995,1.06436799441445,11.7821814324196,7.32308294671659,NA,0.0624791055926264,0.365757453612355,0.0837831222154336,NA,90.8637403163334,1.70083474278216,6.30077002601427,NA,5.9419360709094,NA,4.36090344171857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"019","CHILCUAUTLA",1.27269507311277,10.3249941714972,0.0862544392667932,5.22956744926284,2.08187894575189,7.02933506129816,14.7157205339813,1.86816294078949,2.19551325767459,5.67580880537032,NA,0.176214083302627,3.43713448428334,122.388631553802,0.188419740562377,1.10302354466689,NA,NA,3.07658046759455,2.27966587432009,14.2254712444424,19.3510746639505,0.365698764018808,NA,1.46125348148597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"020","ELOXOCHITLÁN",NA,32.236975051701,NA,0.737277591497358,NA,0.236096012308251,NA,0.76864401198671,0.903330261993014,0.150944310476574,NA,NA,0.443919590136767,722.130792577111,NA,NA,NA,NA,74.808170128124,2.11039724751936,0.796310649630024,NA,5.41672127446628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"021","EMILIANO ZAPATA",2.39572149546073,2.12166811679067,0.162365376118697,2.38953150516978,7.24845182118748,1.91070396527563,1.59557043942173,3.75497973524477,2.27675310079484,2.40631103982439,14.704307217325,0.687824380764491,3.37182024481196,NA,2.0429646482523,1.6079113239848,6.30177469762218,1.66265786259885,0.231654230913417,1.07281089024319,6.73847795248454,1.45705869417109,NA,7.09402317151795,1131.28864210478,NA,0.0557393441253548,NA,2.25974892199187,NA,NA,NA,NA,NA,NA
"022","EPAZOYUCAN",3.08927042303857,6.5847963447962,NA,2.37917470415628,0.561493233910638,3.8690756299378,1.86619482351235,6.17219865359844,1.64483605551085,2.64129064594916,3.4628401947572,0.427732429527073,6.37840302652053,NA,1.82943909796805,2.6774190333906,0.153327378486072,387.132330374668,1.86698079599539,0.345846017475477,2.92371657918776,0.174642104491948,0.221919295378022,21.4096873359122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"023","FRANCISCO I. MADERO",7.90489188171856,0.538770013295121,0.178204832997642,1.43065910692567,7.95808638293921,3.46532945225574,0.00403533972856524,7.71682022979862,5.36763616272409,3.59358922324485,10.3174294460466,0.0378839495165971,4.59333871254203,NA,1.36268985554846,0.948548209055782,0.30855482819266,218.305701177291,5.64684904222855,0.490101274987955,7.37870357240677,0.0154679239013054,4.72216906481771,0.0282010767727344,0.176710648197899,NA,1.20356602032869,203.978021454397,0.00476438914791416,NA,NA,NA,NA,NA,NA
"024","HUASCA DE OCAMPO",0.330045848977453,3.49539269065757,0.0894728682063824,1.16497112387607,NA,0.0694853550563635,800.776415157054,1.34574310681995,2.32832570652722,1.17285766572038,0.0924891540271624,19.0173877666119,0.990829772746967,191.917173603441,12.8234931057521,0.0317828022274816,NA,NA,5.23897032768285,2.60711206614712,0.303621835595314,NA,NA,0.136069553602275,0.378944380360274,NA,NA,NA,0.0919522768252573,NA,NA,NA,NA,NA,NA
"025","HUAUTLA",11.7885748196819,11.2439938544369,5.87236486210788,4.46258008645202,0.952285972238663,4.1996205550791,0.137371729283395,2.87216599438282,6.5587130559251,8.53892508448474,2.61019402662319,7.12210276704356,4.77989918130827,NA,24.907845204351,6.78327708322274,0.321038820522776,8.8773920306398,3.71609598362089,0.26068924875963,11.9021879214056,NA,16.7276682321389,0.960025907236739,NA,NA,0.338611582864792,NA,NA,NA,NA,NA,NA,NA,NA
"026","HUAZALINGO",14.3200782602515,55.379045412215,NA,8.22985602838983,1.15678187204017,4.84957155087334,NA,0.259508006977569,0.542187557485926,1.83461425101693,1.78352583840071,NA,2.85382231384539,16.4482583717173,15.07595715654,0.612887528118656,NA,NA,15.3853290463573,2.85003187480326,20.1935290958237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"027","HUEHUETLA",16.183476893725,12.0485898450359,5.30853013501155,3.38476865112982,2.94144297281619,5.03341803155987,2.65198112452467,5.93884828045158,0.775498625495171,3.68594352326111,1.13377890659443,0.560180636690557,7.03660812772672,2.61401993603729,5.39083933755909,1.08224914276611,2.53857829475787,NA,1.08670895769124,0.805222990999356,31.4044829794454,NA,29.0637051570371,NA,0.516143577102624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"028","HUEJUTLA DE REYES",6.40469337430646,1.55447252816566,2.80291794373114,6.54004880955078,0.647638438530458,4.01718030910163,2.36318097743456,3.90051134056058,3.64078209954133,4.90947765987848,2.18833647590472,11.1083779582095,5.19633899753751,0.0124469588603252,4.42752152956144,1.19688257195196,0.355749588307567,NA,0.591044065542434,15.6067287636347,2.70412199110806,1.07835239753296,15.9431661369106,228.816408703157,0.727079299022613,NA,0.828759720301877,NA,0.000596364663603347,NA,6.51819069547023,NA,41.8546973974229,NA,NA
"029","HUICHAPAN",2.5410685160693,1.03498331564791,1.67702909113995,10.9865472840577,1.33810204448937,1.94751345805903,3.12716633447561,1.58797695084288,4.29421822717915,2.28636854714155,2.49633310343204,6.93494575693087,3.17064497069107,0.00825800620145636,1.29892109878892,27.619746436851,8.26355527603293,69.3773369227544,11.7487398752737,1.28779730523012,3.47851411842157,0.24462837232047,0.52885884445801,0.526944450432002,0.366876044212109,NA,163.723675267975,NA,NA,NA,4.32453097897216,NA,17.263036275051,NA,NA
"030","IXMIQUILPAN",5.5282865814272,2.75081925640252,1.01764955824445,5.43439270872032,27.0085442024778,4.599174931243,8.91198363353155,5.18051507196776,11.3631037997546,9.78394182335222,3.8855094611047,8.18662507039052,6.5804011899101,0.00164481012110751,2.31660974543234,1.6163994127579,0.652585624256672,0.00431345555880533,0.678486528045381,4.7279981027691,6.80024766021982,10.6162533926338,6.71349798375682,0.18287454663913,2.16250798174117,0.0430439424737101,1.01645189739058,NA,0.00283704953480026,NA,21.5337460088185,0.330945079331604,1.96568273132258,NA,NA
"031","JACALA DE LEDEZMA",0.991900356146612,8.33633596460093,3.48489849116934,36.8311767364003,2.20847626289716,3.20014319807896,3.93456612289876,4.89374466001412,5.75125490723773,4.99046031757394,35.4928983517354,6.92310623208465,4.82517831466367,NA,0.917804329750839,2.38795404838814,0.0218801004769665,11.3611254411856,15.3632126875024,7.10681274848624,8.68836775330417,0.0560739404203316,1.78134153034712,NA,0.284714280609534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","JALTOCÁN",3.88611381926289,3.66641267116866,5.41262472426667,0.971151476073651,0.139520839577968,1.57514925480085,NA,0.946811988108431,0.261575548709972,2.14172355609106,0.860452703823234,NA,1.71680761969153,NA,55.5056338069605,0.462006842845665,154.432424310594,NA,0.463910715929796,0.0859364348646001,22.7140271330046,NA,9.31915044958645,183.810895284497,0.881356630702499,NA,NA,NA,38.9768043817401,NA,NA,NA,NA,NA,NA
"033","JUÁREZ HIDALGO",NA,72.1514228044799,NA,0.173598118280482,NA,1.36762170221068,2.68134311904461,4.16986218774802,0.968005839185891,0.647005774436644,NA,NA,1.16984562936895,7.34156009688301,26.916173854148,NA,NA,NA,180.369444307004,5.08836371949957,10.4532185411367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"034","LOLOTLA",NA,1.89558662791556,NA,0.339631224947868,NA,0.430802121238145,1.37621366676847,0.0539230038633063,NA,0.0294146087498171,NA,1.6479534872802,0.0556163443041077,NA,NA,0.0318378775008001,NA,2.24074688385611,0.078049505512813,0.148051578047114,0.0558639130296563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6115.62705651815
"035","METEPEC",3.64543528488347,1.02495315982514,0.0395299685555576,0.787369871375645,5.49569939099819,1.2156263036873,NA,1.52207915575909,2.09933991121075,1.09804949893118,0.163450369870363,NA,2.91323809462106,287.067874918936,0.08635180383747,18.6050166069076,0.463183566141941,272.327917186382,9.25850870630878,NA,3.16468045491223,NA,2.68156598368337,2.16420586700033,0.669685000167607,NA,3.0533558261133,NA,NA,NA,NA,NA,NA,NA,NA
"036","SAN AGUSTÍN METZQUITITLÁN",1.16392175307523,11.6135186925871,6.67661806252044,5.2605891951059,0.211549686385287,3.23629136488679,0.274653332987888,3.037327679764,2.47885125364778,9.14990050016252,1.30466889529757,0.16115360944433,2.57406657776951,0.752005193075872,13.9576030346766,4.30848985325292,0.025674680674123,NA,0.274769006849687,2.08482986767193,9.63662637259664,NA,1.3377744771909,NA,NA,NA,NA,NA,NA,NA,NA,993.547754769308,NA,NA,NA
"037","METZTITLÁN",5.57788742341623,12.579819734002,0.212642154996428,15.4158694308418,2.28108182272258,6.20559966771397,2.22442382541944,5.13150614185697,2.96986313635547,4.95542365049254,5.06443833092372,12.6676496431466,5.92843691519479,15.1451828708964,3.47039976709946,1.20856544656873,0.0307603320528286,NA,5.53377409399515,0.156112114443644,4.84228354890419,0.0788320432374478,1.60276139954745,0.143726366749397,1.60107232065978,NA,0.202775413361496,NA,NA,NA,NA,NA,7.00262855692482,NA,NA
"038","MINERAL DEL CHICO",NA,5.9573100753636,0.140391858921162,2.12797364923065,1.50602930754099,0.175381112155551,345.867052737324,0.760177882595178,1.10293907214459,12.5134232368927,NA,2.58133038020011,0.745423918074516,240.320867276418,1.22672399750579,0.797926213993259,1.64501020993749,NA,0.489022442186352,0.9276233563614,1.40007073717405,NA,5.35705950325314,0.854026833195151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"039","MINERAL DEL MONTE",1.84158290338001,1.19316293314756,3.47949496889829,1.49110333960077,10.3473576025512,7.35707996034008,49.9392405849518,5.55361879295536,3.79759068580377,17.0729856938731,1.67206369320007,0.254980827694416,3.77871881231991,NA,4.10446696204529,0.709364052115523,0.0842359589883397,16.2206248981185,1.16929186858945,0.131946568766035,6.97157027938652,1.12003602484297,1.35466019389083,5.95242623589757,0.0845770361136811,NA,0.0428466428094255,NA,NA,NA,NA,NA,NA,NA,35.4755114768008
"040","LA MISIÓN",8.20568866190765,92.0808780237968,NA,NA,5.96573045710457,6.25252638466922,7.74526203157295,3.01124043490228,0.699039486902634,3.53343637761774,NA,4.54455410717754,5.82600017830584,NA,4.85933751603446,NA,NA,NA,1.93713101262432,3.67453068944751,7.54872773455867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"041","MIXQUIAHUALA DE JUÁREZ",6.07302374106927,1.30954564696586,2.20261454977881,4.7564696868321,3.71002169550047,1.72333685936578,0.611696084887914,4.05497080693927,5.16613579490011,3.54096626085542,7.082422744211,2.01147520114583,4.65634006808149,NA,1.795958186711,4.05540808396547,3.11229189102536,34.3344582575074,1.02771776012019,0.244756555243263,3.5926035139219,3.39937822136986,1.7450348656839,0.136315498013895,1.78999097530525,0.0111418123579205,0.663307193674259,NA,0.0508343610330708,900.04064463955,2.28309157806231,0.0856642715044501,NA,NA,NA
"042","MOLANGO DE ESCAMILLA",2.5839396802663,24.9892381866181,1.88402712847768,43.7222714531693,1.87858548928933,11.5355324117581,2.43895311192426,3.7929119503091,5.5031208918082,4.45066189567096,7.79016382374988,0.515182515615012,5.19918208629952,NA,2.20346873791571,1.95081615959681,3.36190995457438,NA,0.999415934603258,0.740541137917353,4.92908244132508,NA,5.82099952133959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
