"codigo_act","Título","complejidad_producto_2015","afinidad_2015","personal_ocupado_2015","complejidad_producto_2016A","afinidad_2016A","personal_ocupado_2016A","complejidad_producto_2016B","afinidad_2016B","personal_ocupado_2016B","complejidad_producto_2017A","afinidad_2017A","personal_ocupado_2017A","complejidad_producto_2017B","afinidad_2017B","personal_ocupado_2017B","complejidad_producto_2018A","afinidad_2018A","personal_ocupado_2018A","complejidad_producto_2018B","afinidad_2018B","personal_ocupado_2018B","complejidad_producto_2019A","afinidad_2019A","personal_ocupado_2019A","complejidad_producto_2019B","afinidad_2019B","personal_ocupado_2019B","complejidad_producto_2020A","afinidad_2020A","personal_ocupado_2020A","complejidad_producto_2020B","afinidad_2020B","personal_ocupado_2020B","complejidad_producto_2021A","afinidad_2021A","personal_ocupado_2021A","complejidad_producto_2021B","afinidad_2021B","personal_ocupado_2021B","complejidad_producto_2022A","afinidad_2022A","personal_ocupado_2022A","complejidad_producto_2022B","afinidad_2022B","personal_ocupado_2022B","complejidad_producto_2023B","afinidad_2023B","personal_ocupado_2023B","complejidad_producto_2024A","afinidad_2024A","personal_ocupado_2024A","complejidad_producto_2024B","afinidad_2024B","personal_ocupado_2024B","codigo_act_dos_digitos","Título_dos_digitos"
311930,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas",-0.614723923893604,0.319934376696684,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0570367507956157,0.319440401139542,20.5,-0.0633290524641712,0.32423891602334,23,-0.066823517022164,0.320564215021905,23,-0.0598144817150561,0.317487498059735,23,-0.0648086386819956,0.316596212290648,23,-0.0169069442003429,0.335248028258577,23,-0.278982458495677,0.353796064441931,23,-0.292845506176226,0.353914914319681,23,-0.221672221949315,0.341080139187447,25.5,31,"Industrias manufactureras"
311940,"Elaboración de condimentos y aderezos",0.89010719901043,0.26714643559441,7.5,0.5902022066535,0.286663871431609,83,0.526398318075201,0.294439373308735,83,0.561025974818376,0.290627623247826,48,0.562030684645872,0.295778422877492,48,0.552951649944559,0.28078057763053,48,0.521769636506084,0.296601428360725,48,0.473600156881578,0.287795166590408,48,0.544274069120682,0.280047436116366,40.5,0.536289678288277,0.27877064313063,40.5,0.551608117113528,0.299673447176015,78,0.518001580141819,0.296170320159654,78,0.529995180569008,0.294577234317977,78,0.519935886052128,0.292740720133252,78,0.591789837614773,0.29767164657883,78,0.540614739068508,0.304828859500332,78,0.550235123695171,0.304460275179113,78,0.360726411057882,0.297130064193426,75.5,31,"Industrias manufactureras"
311991,"Elaboración de gelatinas y otros postres en polvo",0.346404205801763,0.313112452395358,2.5,0.856692508732139,0.318437454917443,2.5,0.894364035804625,0.324134544329417,2.5,0.704729256715789,0.32710408585773,2.5,0.781886152331878,0.324899882141281,2.5,0.847608502091691,0.309503298930131,2.5,0.690897513081942,0.32554665899587,2.5,0.687936437442316,0.316709188842167,2.5,0.298185760433855,0.32196830745582,2.5,NA,NA,NA,0.207446084202218,0.341072782982737,2.5,0.187646756496251,0.33614507984995,2.5,0.200005638871707,0.33353628618509,2.5,0.136654030174491,0.333477278190514,2.5,0.255418131776081,0.34198811840167,2.5,0.254820384386461,0.343994625942576,2.5,0.267442937271474,0.345372497165462,2.5,0.482737605183177,0.336955138554195,2.5,31,"Industrias manufactureras"
311993,"Elaboración de alimentos frescos para consumo inmediato",0.959229682110279,0.264358667753533,17.5,0.675815315277822,0.277979454389224,17.5,0.611130569452794,0.284767929897952,17.5,0.587824143183476,0.291919375709208,17.5,0.60563257091601,0.298492432630862,17.5,0.622493765445449,0.281100585154472,17.5,0.570934003382778,0.300223497220021,17.5,0.70085053552166,0.292393395650966,17.5,-0.658091431389919,0.345890939321397,20,-0.543359352334588,0.331774353462427,22.5,-0.577827294497078,0.325836718762356,22.5,-0.574353416865393,0.323842709855596,22.5,-0.551572390280492,0.319809295096304,22.5,-0.573686222067653,0.321288841373664,22.5,0.234083374335562,0.300527188316228,22.5,0.519938558546094,0.279399312467554,22.5,0.544625738514109,0.277767271134484,22.5,0.299034742561968,0.311726107446939,30,31,"Industrias manufactureras"
311999,"Elaboración de otros alimentos procesados y envasados",-0.631076633013119,0.303942301764853,277,-0.308792451957861,0.293344057365004,20.5,0.247006720450495,0.278916209687744,20.5,0.750010510670458,0.282501662842723,23,0.342064928439327,0.301275470821331,23,0.372078164564605,0.279000916473331,20.5,0.399068493449365,0.295272041098628,20.5,0.277270092939573,0.288864269389864,20.5,0.597896938858202,0.279651473266723,25.5,0.344863756194068,0.292737757002544,20.5,0.502005184820778,0.284755487670348,20.5,0.510860925197244,0.280621111633184,20.5,0.517967963546258,0.278809005921738,20.5,0.490278031325265,0.276932660573249,20.5,0.25884387130301,0.296161615731338,20.5,0.291449051760794,0.296800499734038,20.5,0.279809077411881,0.296431595795912,20.5,0.114691380739541,0.317979191207355,35.5,31,"Industrias manufactureras"
312111,"Elaboración de refrescos y otras bebidas no alcohólicas",-0.505215940921567,0.368399022930296,570.5,-0.0754104187232222,0.300727112128214,573,0.668136913544058,0.294061516567212,573,0.802714443666686,0.299554539099588,510.5,0.641522356976725,0.313511371307596,510.5,0.614646439768227,0.298266831890051,513,0.636171836398432,0.30235532963274,513,0.419992541910067,0.354684193134644,737,-0.361382032855334,0.395184095106187,611,-0.484525448297898,0.406941569813724,754,-0.105532534370791,0.382554763789918,699,-0.00265466975900251,0.375412541254125,874.5,-0.0560752335131264,0.378326862883844,874.5,-0.068438444161811,0.377469447175859,874.5,-0.0133791873348487,0.384446577972843,950,0.0559466404216801,0.386309575700213,1025.5,-0.0969233125428296,0.401327707234908,1025.5,-0.0202185736150718,0.386024780366711,1015.5,31,"Industrias manufactureras"
312112,"Purificación y embotellado de agua",-1.5117868639946,0.382859036782303,1361.5,-1.35771195919078,0.361414900523337,1348.5,-1.47700311839288,0.37753821515826,1348.5,-1.46081337335232,0.386593314441361,1348.5,-1.26979208485212,0.380461349506777,1346,-1.47280812771741,0.36528876203761,1348.5,-1.28917147063262,0.384810597510876,1348.5,-1.35536898165429,0.386813807244457,1348.5,-1.2205098412585,0.436026848177289,1717,-1.30933638455134,0.437460092614383,1719.5,-1.41646009249751,0.448397044017873,1902.5,-1.382242736829,0.445444569165297,1905,-1.36389827061292,0.441301909986773,1920,-1.3943855058988,0.44191309378519,1920,-1.28530953064653,0.446615990819768,1920,-1.50353469137241,0.465506433404882,1922.5,-1.45099389341093,0.458628726096771,1922.5,-1.48988088326737,0.408460338913466,2054,31,"Industrias manufactureras"
312113,"Elaboración de hielo",-0.77804605512751,0.317582539605468,54,-0.806318288252452,0.298188814318412,54,-0.993729743650918,0.300868074096967,54,-0.725996973131327,0.321068342644491,74,-0.763157899793442,0.325347918810985,74,-0.825100532193064,0.305350814684962,74,-0.744337119890392,0.33196108505207,74,-0.636591614934119,0.336057114901032,74,-0.129772124808984,0.330632511893663,142.5,-0.58942372417878,0.350236066894376,107.5,-0.46706127282677,0.352791344247707,142.5,-0.307081853630064,0.34642635520593,145,-0.321601300486792,0.346919244670005,153,-0.333493800721842,0.345984877924809,153,-0.560720399391258,0.36206896601364,153,-0.409077082370002,0.363189635438231,193.5,-0.393895201420789,0.360942066583828,193.5,-0.560098449910673,0.358051338801841,204,31,"Industrias manufactureras"
312120,"Elaboración de cerveza",NA,NA,NA,-0.0407088843236461,0.2783605170443,2.5,-0.106646821745924,0.281858434455303,2.5,-0.0505005298074135,0.290744070141681,2.5,-0.0303080732393442,0.298558507054992,10.5,-0.0667315006407134,0.282917745710293,10.5,0.132577387073932,0.302847889260475,10.5,0.132844362542644,0.296151499513784,10.5,0.00358267937206728,0.350534957102023,186,0.123089000340971,0.344784878260202,186,0.257872805727162,0.287126248270502,13,0.254195554801293,0.28723218797878,13,0.256854773000237,0.285058500949539,13,0.24576012204524,0.284347456919596,13,0.235118345065349,0.297305200295715,13,0.241322173220851,0.303042754718654,13,0.265019879780521,0.301231455784672,13,0.0278838208525123,0.309799469555068,15.5,31,"Industrias manufactureras"
312131,"Elaboración de bebidas alcohólicas a base de uva",1.89477193503927,0.260098912618779,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.697429965829922,0.362851195830782,40.5,0.781762075817207,0.363737832508294,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19234519458653,0.294993014912392,2.5,31,"Industrias manufactureras"
