"CVE_MUN","Municipio","Región","diversidad_2015","especializado_2015","diversidad_2016A","especializado_2016A","diversidad_2016B","especializado_2016B","diversidad_2017A","especializado_2017A","diversidad_2017B","especializado_2017B","diversidad_2018A","especializado_2018A","diversidad_2018B","especializado_2018B","diversidad_2019A","especializado_2019A","diversidad_2019B","especializado_2019B","diversidad_2020A","especializado_2020A","diversidad_2020B","especializado_2020B","diversidad_2021A","especializado_2021A","diversidad_2021B","especializado_2021B","diversidad_2022A","especializado_2022A","diversidad_2022B","especializado_2022B","diversidad_2023B","especializado_2023B","diversidad_2024A","especializado_2024A","diversidad_2024B","especializado_2024B"
"074","Tlaxcoapan","Región Tula",21,28.9523809523809,20,28.9,20,29.35,20,29.35,21,29.5714285714286,19,29.4736842105263,21,31.1428571428571,21,30.8571428571429,21,29.9523809523809,19,28.3157894736842,19,31.1578947368421,19,31.4210526315789,19,31.4736842105263,19,31.4210526315789,19,30.4210526315789,19,30.1052631578947,18,30.2222222222222,23,30.1304347826087
"075","Tolcayuca","Región Tizayuca",19,27.6315789473684,21,28.4285714285714,19,29.1052631578947,21,29.1904761904762,19,28.2105263157895,17,27.5294117647059,19,28.2105263157895,16,27.6875,16,25.3125,18,26.8888888888889,13,23.6153846153846,13,23.8461538461538,13,23.9230769230769,13,23.8461538461538,14,23.4285714285714,11,26.5454545454545,12,24.5,14,27.8571428571429
"076","Tula de Allende","Región Tula",25,14.08,26,17.5384615384615,24,16.6666666666667,24,15.5,25,13.56,24,13.875,25,14.36,25,14.44,33,18.2424242424242,28,17.6785714285714,32,16.78125,32,16.90625,32,16.8125,32,16.75,30,15.6,30,17.4,33,16.8787878787879,28,17.0357142857143
"077","Tulancingo de Bravo","Región Tulancingo",38,20.3684210526316,38,20.4473684210526,38,20.6578947368421,36,20.1111111111111,36,20.8888888888889,38,21.2631578947368,35,21.1142857142857,36,21.4722222222222,35,21.2,34,22.4411764705882,35,21.7142857142857,34,21.3529411764706,33,22.030303030303,33,21.9393939393939,32,22.1875,30,23.4,31,23.2258064516129,32,23.78125
"078","Xochiatipan","Región Huejutla",10,35.8,11,33.5454545454545,11,33.8181818181818,11,33.0909090909091,11,33.8181818181818,10,36.4,11,33.8181818181818,11,33.5454545454545,16,33.8125,11,35.2727272727273,15,34.9333333333333,15,35.0666666666667,15,35.2,15,35.2,15,35.2666666666667,15,34.6,15,34.2666666666667,12,38.5833333333333
"079","Xochicoatlán","Región Zacualtipán",10,39.5,9,35.5555555555556,9,35.7777777777778,9,36.2222222222222,9,36.6666666666667,8,36.375,9,36.6666666666667,9,36.5555555555556,8,34.25,10,31.1,12,30.4166666666667,12,30.5833333333333,12,30.5833333333333,12,30.5833333333333,13,30.5384615384615,12,30.8333333333333,13,29.5384615384615,8,33.875
"080","Yahualica","Región Huejutla",12,29,12,34.5,12,34.6666666666667,11,34.8181818181818,12,34.5,10,34.6,12,34.5833333333333,12,34.6666666666667,12,34.0833333333333,13,33.8461538461538,13,35,13,35.0769230769231,13,35,13,35.0769230769231,13,35,13,34.5384615384615,13,34.1538461538462,12,33.8333333333333
"081","Zacualtipán de Ángeles","Región Zacualtipán",14,21.1428571428571,14,21,14,21,14,20.7857142857143,13,20.6923076923077,12,19.9166666666667,12,21,12,20.3333333333333,8,21.125,8,20.875,7,22,8,20.25,7,22,7,22,10,21.4,8,19.875,8,20.75,9,28.8888888888889
"082","Zapotlán de Juárez","Región Pachuca",14,33.1428571428571,15,33.4,17,30.0588235294118,17,30,18,29.1111111111111,15,29.2666666666667,18,29.6666666666667,18,29.4444444444444,17,32.1176470588235,16,32.6875,18,32.0555555555556,17,32.7647058823529,17,32.8235294117647,17,32.7647058823529,18,32.7222222222222,18,30.0555555555556,20,31.05,22,29.0909090909091
"083","Zempoala","Región Tizayuca",24,24.4583333333333,24,26.5833333333333,24,26.5833333333333,22,27.6363636363636,22,28.1363636363636,20,27.9,22,28.3636363636364,22,27.3181818181818,23,28.7826086956522,23,28.695652173913,18,27.6666666666667,19,28.0526315789474,18,26.6666666666667,18,26.6111111111111,18,26.5,17,26.3529411764706,17,23.8235294117647,23,22.7826086956522
"084","Zimapán","Región Ixmiquilpan",13,28.9230769230769,17,24.3529411764706,18,23.7777777777778,16,23.0625,17,23.2941176470588,16,23.375,17,25.2352941176471,15,26.1333333333333,22,27.9545454545455,21,28.5238095238095,18,27.1666666666667,18,27.0555555555556,18,27.1111111111111,18,27.1111111111111,18,27.7777777777778,17,28.2941176470588,17,28.0588235294118,16,28.3125
